chapter,item_id,item_index,q_type,reference,question,method_score_range,method_order
luke1,uw-174329-open,19,open,文本甲 1:27,六个月后，使者乙访问了谁？,1.0,llm_prompt_low > llm_prompt_high=llm_prompt_medium=mBART-50=nllb-200-distilled-600M > helsinki > google_word_by_word=nllb-200-1.3B
luke1,uw-174330-open,21,open,文本甲 1:31,人物丁会发生什么事？,1.0,llm_prompt_high=llm_prompt_low=nllb-200-1.3B=nllb-200-distilled-600M > helsinki > google_word_by_word=llm_prompt_medium=mBART-50
luke1,uw-174335-open,29,open,文本甲 1:41,当人物丁问候人物乙时，人物乙的宝宝做了什么？,1.0,helsinki=llm_prompt_low=llm_prompt_medium > google_word_by_word=llm_prompt_high=nllb-200-1.3B=nllb-200-distilled-600M > mBART-50
luke2,uw-174354-mcq,14,mcq,文本甲 2:22,人物戊和人物丁为什么带人物己去场所甲？,1.0,llm_prompt_high=nllb-200-1.3B > google_word_by_word=helsinki=llm_prompt_low=llm_prompt_medium=mBART-50 > nllb-200-distilled-600M
luke2,uw-174362-open,23,open,文本甲 2:49,人物己如何回答人物丁关于寻找他的事？,1.0,helsinki > llm_prompt_high=llm_prompt_low=nllb-200-1.3B > nllb-200-distilled-600M > llm_prompt_medium=mBART-50 > google_word_by_word
luke3,uw-174370-open,9,open,Luke 3:16,人物丙 说 有人 会 用 什么 施洗？,1.0,nllb-200-1.3B > llm_prompt_high=llm_prompt_low=llm_prompt_medium=nllb-200-distilled-600M > google_word_by_word=helsinki > mBART-50
luke3,uw-174374-open,11,open,Luke 3:22,人物己 受洗后 谁 从 天 降下？,1.0,llm_prompt_medium=mBART-50=nllb-200-1.3B > llm_prompt_high=nllb-200-distilled-600M > llm_prompt_low > google_word_by_word=helsinki
luke4,uw-174379-open,5,open,Luke 4:3,魔鬼挑战耶稣做什么？,1.0,llm_prompt_low > google_word_by_word=mBART-50=nllb-200-distilled-600M > llm_prompt_high=llm_prompt_medium=nllb-200-1.3B > helsinki
luke4,uw-174380-open,7,open,Luke 4:4,耶稣对魔鬼的回答是什么？,1.0,llm_prompt_high=llm_prompt_low=llm_prompt_medium > google_word_by_word=helsinki=mBART-50=nllb-200-1.3B=nllb-200-distilled-600M
luke4,uw-174388-open,17,open,Luke 4:21,耶稣说那天实现了什么？,1.0,mBART-50 > llm_prompt_high=nllb-200-distilled-600M > google_word_by_word=llm_prompt_low=llm_prompt_medium=nllb-200-1.3B > helsinki
