chapter,item_id,reference,q_type,n_methods,mean_score,rho,note,question
luke5,uw-174409-open,Luke 5:32,open,8,0.542,0.932,,主人甲说他来的目的是什么？
luke5,uw-174410-mcq,Luke 5:35,mcq,8,0.333,0.926,,主人甲说他的门徒什么时候禁食？
luke4,uw-174388-mcq,__文本甲__ 4:21,mcq,8,0.562,0.901,,__人物己__说那天实现了什么？
luke3,uw-174370-open,文本甲 3:16,open,8,0.542,0.83,,人物丙说有人将用什么施洗？
luke8,uw-174454,Luke 8:48,open,6,0.667,0.828,,是什么治愈了那个血漏的女人？
luke5,uw-174401-open,Luke 5:5,open,8,0.208,0.825,,尽管一无所获，人物02做了什么？
luke4,uw-174394-mcq,__文本甲__ 4:30,mcq,8,0.771,0.782,,__人物己__如何避免被人群杀害？
luke8,uw-174445-open,文本甲 8:12,open,8,0.625,0.782,,路旁的种子是谁？
luke1,uw-174316-mcq,文本甲 1:4,mcq,8,0.75,0.756,,文本甲为什么写他的记述？
luke2,uw-174361-open,文本甲 2:46,open,8,0.25,0.756,,人物己的父母在哪里找到他？
luke6,uw-174422-open,文本甲 6:27,open,8,0.917,0.756,,群体02应如何对待敌人？
luke6,uw-174424-mcq,文本甲 6:42,mcq,8,0.75,0.756,,在去除别人眼中的刺之前，我们必须做什么？
luke8,uw-174455-open,文本甲 8:55,open,8,0.083,0.756,,人物己在人物05家做了什么？
luke3,uw-174368-mcq,文本甲 3:9,mcq,8,0.792,0.732,,没有好果子的树会怎样？
luke6,uw-174427-mcq,文本甲 6:47,mcq,8,0.792,0.732,,谁像是在磐石上建房的人？
luke4,uw-174387-mcq,__文本甲__ 4:17,mcq,8,0.646,0.729,,__人物己__在地点03里读了哪本书？
luke4,uw-174389-open,__文本甲__ 4:24,open,8,0.646,0.709,,先知在本国会受到怎样的接待？
luke7,uw-174430-mcq,文本甲 7:6,mcq,8,0.354,0.709,,角色01为什么派朋友去见人物己而不亲自去？
luke2,uw-174349-mcq,文本甲 2:9,mcq,8,0.438,0.701,,群体01对实体01有什么反应？
luke1,uw-174316-open,文本甲 1:4,open,8,0.417,0.694,,文本甲为什么写他的记述？
luke5,uw-174404-mcq,Luke 5:10,mcq,8,0.333,0.69,,主人甲说人物01将来会做什么？
luke4,uw-174393-open,__文本甲__ 4:29,open,8,0.542,0.687,,人们如何试图杀死__人物己__？
luke8,uw-174447-open,文本甲 8:14,open,8,0.417,0.677,,荆棘里的种子是谁？
luke6,uw-174421-mcq,文本甲 6:23,mcq,8,0.708,0.665,,根据人物己，为什么人们应该喜乐？
luke4,uw-174399-mcq,__文本甲__ 4:43,mcq,8,0.583,0.655,,__人物己__为什么被差遣？
luke7,uw-174429-open,文本甲 7:3,open,8,0.583,0.655,,角色01最初向人物己请求什么？
luke6,uw-174424-open,文本甲 6:42,open,8,0.5,0.646,,在去除眼中的刺之前我们必须做什么？
luke1,uw-174344-mcq,文本甲 1:80,mcq,8,0.917,0.63,,人物丙在哪里长大和生活？
luke2,uw-174346-open,文本甲 2:4,open,8,0.667,0.63,,人物戊为什么去地点03？
luke4,uw-174382-mcq,__文本甲__ 4:7,mcq,8,0.354,0.63,,实体01想让__人物己__做什么？
luke5,uw-174409-mcq,Luke 5:32,mcq,8,0.75,0.63,,主人甲说他的目的是什么？
luke7,uw-174434-mcq,文本甲 7:16,mcq,8,0.75,0.63,,人物己使那角色03的儿子复活后人们说什么？
luke1,uw-174330-open,文本甲 1:31,open,8,0.583,0.626,,人物丁会发生什么？
luke6,uw-174415-open,文本甲 6:5,open,8,0.625,0.626,,人物己为自己宣称什么称号？
luke1,uw-174332-open,文本甲 1:35,open,8,0.875,0.62,,人物丁如何以童贞女身份受孕？
luke1,uw-174335-mcq,文本甲 1:41,mcq,8,0.875,0.62,,当人物丁问候人物乙时，人物乙的孩子做了什么？
luke4,uw-174380-open,__文本甲__ 4:4,open,8,0.375,0.62,,__人物己__如何回应实体01？
luke2,uw-174354-mcq,文本甲 2:22,mcq,8,0.667,0.619,,人物戊和人物丁为什么带人物己去场所甲？
luke4,uw-174378-mcq,__文本甲__ 4:2,mcq,8,0.896,0.592,,实体01试探__人物己__多长时间？
luke1,uw-174324-mcq,文本甲 1:13,mcq,8,0.958,0.577,,天使对人物甲说了什么？
luke1,uw-174333-mcq,文本甲 1:35 (#2),mcq,8,0.625,0.577,,圣婴是谁的儿子？
luke4,uw-174396-mcq,__文本甲__ 4:36,mcq,8,0.958,0.577,,__人物己__赶出恶魔后人们有什么反应？
luke5,uw-174404-open,Luke 5:10,open,8,0.5,0.577,,主人甲说人物01将来的工作是什么？
luke8,uw-174449-mcq,文本甲 8:21,mcq,8,0.938,0.577,,人物己说谁是他的母亲和弟兄？
luke5,uw-174401-mcq,Luke 5:5,mcq,8,0.667,0.567,,人物02尽管一无所获，却放下了什么？
luke1,uw-174332-mcq,文本甲 1:35,mcq,8,0.667,0.546,,人物丁如何以童贞女身份受孕？
luke1,uw-174344-open,文本甲 1:80,open,8,0.833,0.546,,人物丙在哪里长大和生活？
luke2,uw-174361-mcq,文本甲 2:46,mcq,8,0.146,0.509,,人物己的父母在哪里找到他？
luke4,uw-174392-mcq,__文本甲__ 4:28,mcq,8,0.729,0.509,,人们如何回应__人物己__的榜样？
luke1,uw-174330-mcq,文本甲 1:31,mcq,8,0.792,0.507,,人物丁会发生什么？
luke1,uw-174340-mcq,文本甲 1:64,mcq,8,0.875,0.507,,人物甲写完名字后发生了什么？
luke2,uw-174350-mcq,文本甲 2:11,mcq,8,0.875,0.507,,实体01把什么消息告诉群体01？
luke7,uw-174434-open,文本甲 7:16,open,8,0.292,0.498,,人物己使那角色03的儿子复活后人们说什么？
luke7,uw-174431-mcq,文本甲 7:7,mcq,8,0.458,0.483,,角色01希望人物己怎样医治他的仆人？
luke4,uw-174377-open,__文本甲__ 4:1,open,8,0.646,0.482,,谁带领人物己进入旷野？
luke1,uw-174326-open,文本甲 1:17,open,8,0.625,0.479,,人物丙的行为将预备什么人？
luke7,uw-174436-open,文本甲 7:26,open,8,0.333,0.476,,人物己怎样评价人物丙？
luke2,uw-174362-open,文本甲 2:49,open,8,0.521,0.466,,人物己对人物丁关于寻找他回答了什么？
luke2,uw-174352-open,文本甲 2:16,open,8,0.521,0.464,,群体01在地点03发现了什么？
luke7,uw-174431-open,文本甲 7:7,open,8,0.312,0.451,,角色01希望人物己怎样医治？
luke3,uw-174374-open,文本甲 3:22,open,8,0.583,0.445,,人物己受洗后谁从天而降？
luke1,uw-174331-open,文本甲 1:33,open,8,0.667,0.441,,这个孩子会做什么？
luke8,uw-174446-open,文本甲 8:13,open,8,0.729,0.441,,磐石地上的种子是谁？
luke6,uw-174423-open,文本甲 6:35,open,8,0.75,0.437,,至高者甲的态度是什么？
