chapter,id,reference,correct,prior_answerability,open_book_choice,open_book_correct,dynamic_range,real_clean_correct,dead_weight,question,opt_A,opt_B,opt_C,opt_D,closed_guesses
1,uw-174333-mcq,1:35(#2),A,1.00,B,0,-1.0,True,True,圣婴是谁的儿子？,神的儿子,珂温的儿子,米恒的儿子,芮谷的儿子,AAAAA
1,uw-174317-mcq,1:6,D,1.00,D,1,0.0,True,True,珂温和哈丽为什么被认为是义人？,他们捐出了全部财富。,他们每天禁食。,他们行了许多奇迹。,他们无可指摘地遵守了诫命。,DDDDD
1,uw-174323-mcq,1:12,C,1.00,C,1,0.0,True,True,珂温对天使的反应如何？,他喜笑颜开。,他无视天使。,他感到不安和害怕。,他唱了一首赞美诗。,CCCCC
1,uw-174316-mcq,1:4,B,1.00,B,1,0.0,True,True,隆里为什么写他的记述？,为了用故事娱乐珈恒。,为了使珈恒确信无疑。,为了用谜语使珈恒困惑。,为了警告珈恒危险。,BBBBB
1,uw-174322-mcq,1:11,D,1.00,D,1,0.0,True,True,谁在圣殿向珂温显现？,一个卖香的商人。,一个罗马士兵。,另一班的祭司。,主的天使。,DDDDD
1,uw-174318-mcq,1:7,D,1.00,D,1,0.0,True,True,珂温和哈丽为什么没有孩子？,他们一直在旅行。,他们太忙于工作。,他们选择不生孩子。,哈丽不能生育。,DDDDD
1,uw-174332-mcq,1:35,D,1.00,D,1,0.0,False,True,芮茉如何以童贞女身份受孕？,一位天使会祝福她,她会祈求奇迹,米恒会娶她,圣灵将降临她身上,DDDDD
1,uw-174335-mcq,1:41,B,1.00,B,1,0.0,True,True,当芮茉问候哈丽时，哈丽的孩子做了什么？,大声哭泣,在她的子宫里跳跃,保持不动,踢她,BBBBB
1,uw-174340-mcq,1:64,C,1.00,C,1,0.0,True,True,珂温写完名字后发生了什么？,他离开了圣殿,他昏厥了,他说话并赞美神,他再次变得哑口无言,CCCCC
1,uw-174341-mcq,1:66,B,1.00,B,1,0.0,True,True,每个人都意识到了孩子的什么？,他长得像珂温,主的手与他同在,他非常强壮,他将成为伟大的王,BBBBB
1,uw-174342-mcq,1:68,A,1.00,A,1,0.0,True,True,至高者完成了什么使珂温称赞？,为他的子民带来了救赎,战胜了敌人,建造了一座新圣殿,派遣了一位新先知,AAAAA
1,uw-174343-mcq,1:77,A,1.00,A,1,0.0,True,True,珂温预言米珥将帮助人们知道什么？,如何通过宽恕得救,如何建造一座圣殿,如何击败敌人,如何变得富有,AAAAA
2,uw-174350-mcq,2:11,A,1.00,A,1,0.0,True,True,天使给牧羊人报了什么消息？,救主已经降生,罗马人离开了,饥荒将至,新王加冕了,AAAAA
2,uw-174352-mcq,2:16,A,1.00,A,1,0.0,True,True,牧羊人在亚斯林找到了谁？,芮茉、米恒和婴儿,兰维,旅馆老板,博士,AAAAA
2,uw-174355-mcq,2:26,C,1.00,C,1,0.0,True,True,圣灵向韦斯显明了什么？,他将长寿,他将成为先知,他将看见主的基督,他将前往亚斯林,CCCCC
2,uw-174359-mcq,2:40,B,1.00,B,1,0.0,True,True,玛伦回到泰洛村后发生了什么？,他去了埃及,他成长并变得强壮,他开始行神迹,他成为教师,BBBBB
3,uw-174365-mcq,3:3,A,1.00,A,1,0.0,True,True,米珥在约旦河周围传讲什么信息？,悔改的洗礼以求赦免,和平与团结,审判与愤怒,繁荣与财富,AAAAA
3,uw-174366-mcq,3:4,C,1.00,C,1,0.0,True,True,米珥为谁预备道路？,门徒,罗马人,主,法利赛人,CCCCC
3,uw-174367-mcq,3:8,B,1.00,B,1,0.0,True,True,米珥告诉人们要产生什么？,财富与财产,悔改的果实,和平与和谐,祭祀与献祭,BBBBB
3,uw-174368-mcq,3:9,C,1.00,C,1,0.0,True,True,无好果子的树会发生什么？,修剪和施肥,装饰和保存,砍倒并扔入火中,被任其生长,CCCCC
3,uw-174374-mcq,3:22,C,1.00,C,1,0.0,True,True,玛伦受洗后谁从天降下？,雷鸣之声,证人的云彩,圣灵如鸽子,天使吹号,CCCCC
4,uw-174378-mcq,4:2,B,1.00,B,1,0.0,True,True,魔君 试探玛伦多久？,30天,40天,7天,3天,BBBBB
4,uw-174381-mcq,4:5,B,1.00,B,1,0.0,True,True,魔君 从高处给玛伦 展示了什么？,圣殿,世上的所有国度,维珥顿城 城,旷野,BBBBB
4,uw-174384-mcq,4:9,C,1.00,C,1,0.0,True,True,魔君 告诉玛伦 在 庙 做什么？,祷告,传道,从那里跳下,下拜,CCCCC
4,uw-174394-mcq,4:30,A,1.00,A,1,0.0,True,True,玛伦 如何避免被人群杀害？,他穿过他们的中间走过。,他飞走了。,他呼唤天使保护他。,他躲在山洞里。,AAAAA
4,uw-174396-mcq,4:36,D,1.00,D,1,0.0,True,True,玛伦 赶鬼之后人们有什么反应？,他们感到困惑。,他们很生气。,他们漠不关心。,他们感到惊奇。,DDDDD
4,uw-174396-mcq,4:36,D,1.00,D,1,0.0,True,True,玛伦 赶鬼之后人们有什么反应？,他们感到困惑。,他们很生气。,他们漠不关心。,他们感到惊奇。,DDDDD
4,uw-174399-mcq,4:43,D,1.00,D,1,0.0,True,True,玛伦 为什么被差遣？,行神迹。,建造殿宇。,召集追随者。,传讲福音。,DDDDD
4,uw-174396-mcq,4:36,D,1.00,D,1,0.0,True,True,玛伦 驱魔后人们有何反应？,他们感到困惑。,他们感到愤怒。,他们漠不关心。,他们感到惊讶。,DDDDD
5,uw-174408-mcq,5:24,D,1.00,D,1,0.0,True,True,主医治瘫痪的人显示了什么权柄？,带领军队的权柄,指挥海洋的权柄,教导律法的权柄,赦免罪的权柄,DDDDD
5,uw-174409-mcq,5:32,B,1.00,B,1,0.0,True,True,主说他的目的是什么？,教导法利赛人,呼召罪人悔改,领导反叛,建造新圣殿,BBBBB
5,uw-174412-mcq,5:37,C,1.00,C,1,0.0,True,True,如果新酒装入旧皮袋会发生什么？,酒会变成醋,酒会蒸发,酒会使皮袋破裂,酒会更好喝,CCCCC
6,uw-174414-mcq,6:1,C,1.00,C,1,0.0,True,True,玛伦的门徒在安息日摘取什么？,鱼,酒,谷物,面包,CCCCC
6,uw-174421-mcq,6:23,A,1.00,A,1,0.0,True,True,根据玛伦，为什么人们应该喜乐？,天上的大奖赏,地上的和平,敌人的战胜,财富的丰富,AAAAA
6,uw-174422-mcq,6:27,C,1.00,C,1,0.0,True,True,门徒应如何对待他们的敌人？,忽视并躲避,判断并谴责,爱并行善,争斗并抵抗,CCCCC
6,uw-174423-mcq,6:35,D,1.00,D,1,0.0,True,True,至高者的态度是什么？,冷漠疏远,严格且不宽恕,严厉且处罚,慈爱且仁慈,DDDDD
6,uw-174424-mcq,6:42,D,1.00,D,1,0.0,True,True,在去除别人眼中的刺之前，我们必须做什么？,使用放大镜,戴护目镜,祈祷许可,先去除自己眼中的梁木,DDDDD
7,uw-174436-mcq,7:26,D,1.00,D,1,0.0,True,True,玛伦怎样评价施洗米珥？,米珥是税吏,米珥是渔夫,米珥是普通人,米珥胜过先知,DDDDD
7,uw-174440-mcq,7:38,D,1.00,D,1,0.0,True,True,在法利赛人家中，城里那个妇人对玛伦做了什么？,问他问题,为他唱歌,给他面包,弄湿、擦拭、亲吻、膏抹他的脚,DDDDD
7,uw-174441-mcq,7:47,D,1.00,D,1,0.0,True,True,玛伦说妇人为什么爱得多？,她想引起注意,她是玛伦的亲戚,她很富有,她许多罪得了赦免,DDDDD
8,uw-174445-mcq,8:12,A,1.00,A,1,0.0,True,True,路旁的种子代表谁？,听了，但魔鬼夺去话语的人,听懂的人,听了并结果的人,听了却被忧虑所扼杀的人,AAAAA
8,uw-174448-mcq,8:15,C,1.00,C,1,0.0,True,True,好土上的种子代表谁？,听了却被生活的忧虑所扼杀的人,听了并在试炼中跌倒的人,听了、保留并结果的人,听了但魔鬼夺去话语的人,CCCCC
8,uw-174452-mcq,8:33,B,1.00,B,1,0.0,True,True,鬼离开人之后去了哪里？,入海中,进入猪中，在湖中淹死,进入另一个人,进入旷野,BBBBB
7,uw-174442-mcq,7:49,D,0.80,C,0,-0.8,True,True,当玛伦赦罪时人们的反应是怎样？,他们忽视他,他们笑话他,他们赞美他,他们问谁能赦罪,DDDCD
1,uw-174324-mcq,1:13,C,0.80,C,1,0.19999999999999996,False,True,天使对珂温说了什么？,准备一场大饥荒。,立刻离开圣殿。,不要害怕；哈丽将怀孕生子。,建立一个新的祭坛。,CCCCA
1,uw-174326-mcq,1:17,D,0.80,D,1,0.19999999999999996,True,True,米珥的行为将预备什么人？,一群为战争准备的人。,一群擅长贸易的人。,一群精通艺术的人。,一群为主预备的人。,DDADD
1,uw-174325-mcq,1:16,D,0.80,D,1,0.19999999999999996,True,True,米珥将为泰隆做什么？,建造一个新圣殿。,带领他们作战。,教他们耕种。,使他们转向神。,DDDDB
1,uw-174329-mcq,1:27,C,0.80,C,1,0.19999999999999996,True,True,六个月后维萨拜访了谁？,一位国王在宫殿中。,海边的渔夫。,一位名叫芮茉的童贞女。,田野里的牧羊人。,CCDCC
1,uw-174331-mcq,1:33,A,0.80,A,1,0.19999999999999996,True,True,这个孩子会做什么？,永远统治隆松的后裔。,写许多书。,领导一场反罗马的叛乱。,成为著名的木匠。,AAAAD
1,uw-174344-mcq,1:80,C,0.80,C,1,0.19999999999999996,True,True,米珥在哪里长大和生活？,在伯利恒,在泰洛村,在旷野,在维珥顿城,CCCCA
2,uw-174362-mcq,2:49,D,0.80,D,1,0.19999999999999996,True,True,玛伦对芮茉说了什么关于寻找他的事？,我和朋友们在一起,我迷路了,我在玩耍,我必须在我父的家里,DDDDA
4,uw-174398-mcq,4:41,B,0.80,B,1,0.19999999999999996,False,True,恶魔被驱逐时说什么？,玛伦 是一位老师。,玛伦 是神的儿子。,玛伦 是一位先知。,玛伦 是一位王。,ABBBB
6,uw-174427-mcq,6:47,D,0.80,D,1,0.19999999999999996,True,True,谁像是在磐石上建房的人？,使用廉价材料的人,忽视建议的人,快速建造的人,听见并遵行的人,ADDDD
8,uw-174444-mcq,8:11,C,0.80,C,1,0.19999999999999996,True,True,在玛伦的比喻中，种子是什么？,天国,信徒的信心,神的话语,神的爱,CBCCC
2,uw-174354-mcq,2:22,A,0.60,A,1,0.4,True,False,米恒和芮茉为什么带玛伦去庙？,为他献给主,逃避兰维,庆祝节日,见韦斯,ABBAA
4,uw-174395-mcq,4:34,D,0.60,D,1,0.4,True,False,恶魔 知道关于玛伦 什么？,玛伦 是先知。,玛伦 是教师。,玛伦 是王。,玛伦 是圣者。,DDCDC
5,uw-174400-mcq,5:4,A,0.60,A,1,0.4,True,False,主吩咐亚磐将船划到哪里？,到深水处,到山上,到岸边,到市场,ABAAC
4,uw-174377-mcq,4:1,A,0.40,D,0,-0.4,True,False,谁带领玛伦进入旷野？,圣灵,一位天使,施洗米珥,魔君,BACAB
4,uw-174382-mcq,4:7,B,0.40,C,0,-0.4,False,False,魔君 希望玛伦 做什么？,从圣殿跳下,在他面前下拜,把石头变成面包,行神迹,BBDDD
3,uw-174370-mcq,3:16,A,0.40,A,1,0.6,True,False,米珥说有人会用什么施洗？,圣灵与火,沙与风,酒与饼,水与油,DDADA
4,uw-174397-mcq,4:40,D,0.40,D,1,0.6,True,False,玛伦 为病人做什么？,他送他们去看医生。,他给他们药。,他为他们祈祷。,他按手医治他们。,CDCCD
4,uw-174398-mcq,4:41,B,0.40,B,1,0.6,False,False,被赶出的 恶魔 说了什么？,玛伦 是教师。,玛伦 是神的儿子。,玛伦 是先知。,玛伦 是王。,ADCBB
4,uw-174398-mcq,4:41,B,0.40,B,1,0.6,False,False,被赶出的 恶魔 说了什么？,玛伦 是教师。,玛伦 是神的儿子。,玛伦 是先知。,玛伦 是王。,AAABB
7,uw-174434-mcq,7:16,C,0.40,C,1,0.6,True,False,玛伦使那寡妇的儿子复活后人们说什么？,他是个魔法师,他是个教师,有一位伟大的先知兴起了,他是个王,CACAA
5,uw-174404-mcq,5:10,D,0.20,A,0,-0.2,False,False,主说亚磐将来会做什么？,捕更多的鱼,造船,教导儿童,捕人,AADAA
5,uw-174410-mcq,5:35,D,0.20,B,0,-0.2,True,False,主说他的门徒什么时候禁食？,当他们饿的时候,在宴席之前,在安息日,在主被带走之后,CCCCD
1,uw-174336-mcq,1:42,A,0.20,A,1,0.8,False,False,哈丽说谁是有福的？,芮茉和她的孩子,米恒和芮茉,珂温和哈丽,天使维萨,BBCAB
3,uw-174375-mcq,3:22(#2),C,0.20,C,1,0.8,True,False,天上的声音说了什么？,这是我选召的先知,看哪，上帝的羔羊,你是我所爱的儿子,预备主的道路,BDDCB
5,uw-174403-mcq,5:8,B,0.20,B,1,0.8,True,False,大量捕鱼后，亚磐叫主做什么？,教导他更多,离开他,祝福鱼,和他在一起,DBDDD
5,uw-174403-mcq,5:8,B,0.20,B,1,0.8,True,False,大量捕鱼后，亚磐叫主做什么？,教导他更多,离开他,祝福鱼,和他在一起,BDDDD
5,uw-174407-mcq,5:21,A,0.20,A,1,0.8,True,False,为什么文士认为主的话是亵渎？,因为只有至高者能赦免罪,因为主与罪人讲话,因为主在安息日医治,因为主自称为王,BBABD
7,uw-174429-mcq,7:3,D,0.20,D,1,0.8,True,False,百夫长最初祈祷玛伦做什么？,喂饱饥饿的人,在会堂教导,平息风暴,来治愈他的奴仆,DCCCC
8,uw-174447-mcq,8:14,A,0.20,A,1,0.8,False,False,荆棘里的种子代表谁？,听了话语却被生活的忧虑扼杀的人,听了并保留话语的人,听了并在试炼中跌倒的人,听了并结果的人,ADDDD
2,uw-174349-mcq,2:9,D,0.00,C,0,0.0,True,False,牧羊人如何回应天使？,他们生气了,他们漠不关心,他们很高兴,他们非常害怕,CCCCC
4,uw-174380-mcq,4:4,B,0.00,C,0,0.0,True,False,玛伦 说人不能单靠什么活着？,酒,面包,鱼,水,AAADA
4,uw-174388-mcq,4:21,D,0.00,A,0,0.0,False,False,玛伦 说那天实现了什么？,珈伦的预言,诗篇,摩西的律法,索达 的话语,AAAAA
4,uw-174389-mcq,4:24,A,0.00,B,0,0.0,False,False,先知在本国受到什么样的接待？,没有先知被接受,他被欢迎,他受到赞扬,他受到尊敬,BBBBB
4,uw-174392-mcq,4:28,C,0.00,D,0,0.0,True,False,人们如何回应玛伦 的榜样？,感恩地,困惑地,充满愤怒地,喜悦地,AAAAA
5,uw-174403-mcq,5:8,B,0.00,D,0,0.0,True,False,大量捕鱼后亚磐祈祷主做什么？,教他更多,离开他,祝福鱼,和他留下来,CCCCC
7,uw-174432-mcq,7:9,D,0.00,A,0,0.0,True,False,玛伦怎样评价百夫长的信心？,信心薄弱,信心错误,信心常见,泰隆中也没有这样的信心,AAAAA
8,uw-174446-mcq,8:13,C,0.00,A,0,0.0,True,False,磐石地上的种子代表谁？,听了，被生活的忧虑所扼杀的人,听了并保留话语的人,接受话语，在试炼中跌倒的人,听了并结果的人,ADDAA
1,uw-174328-mcq,1:20,A,0.00,A,1,1.0,True,False,珂温因不信遭遇了什么？,直到孩子出生前他都不能说话。,他被雷击中。,暂时失明。,被逐出圣殿。,DDDDD
1,uw-174330-mcq,1:31,B,0.00,B,1,1.0,True,False,芮茉会发生什么？,她会建造一个新家。,她将怀孕生下一个儿子，玛伦。,她将前往埃及旅行。,她将成为一位女王。,DDDDD
1,uw-174339-mcq,1:63,A,0.00,A,1,1.0,True,False,珂温写了关于孩子名字的什么？,他的名字是米珥,他的名字是珂温,他的名字是米恒,他的名字是芮谷,BBBBB
2,uw-174346-mcq,2:4,C,0.00,C,1,1.0,True,False,米恒为什么去亚斯林？,找工作,拜访亲戚,登记户口,逃避危险,DDDDD
