chapter,method,item_index,id,passage_reference,q_type,question,standard_answer,score_range,models_disagree,llama 1b_score,llama 1b_answer,llama 1b_choice,1.5b_score,1.5b_answer,1.5b_choice,1.7b_score,1.7b_answer,1.7b_choice
1,google_word_by_word,1,uw-174316-open,文本甲 1:4,open,文本甲为什么写他的记述？,To assure Recipient A of certainty.,0.0,False,0.0,2 只是 作为 他们 是 递给 向下 到 我们 经过 那些 WHO 从 这 第一的 是 目击者 和 仆人 的 这 单词。,,0.0,为了你，收信者甲。,,0.0,文本甲写记述是为了记录并分享他教过的人或事，建立秩序的账户，作为出色的收信者。,
1,google_word_by_word,2,uw-174316-mcq,文本甲 1:4,mcq,文本甲为什么写他的记述？,To assure Recipient A of certainty.,1.0,True,0.0,,,1.0,为了使收信者甲确信无疑。,B,1.0,为了使收信者甲确信无疑。,B
1,google_word_by_word,3,uw-174317-open,文本甲 1:6,open,人物甲和人物乙为什么是义人？,They walked blamelessly in commandments.,1.0,True,1.0,在这个时间下，国王朱迪亚曾是一个职员甲的人物甲。他的妻子人物乙也是后裔的祖先乙。他们都是正义在视线下的至高者甲，观察了所有主人的命令和法令，没有指责。,,0.0,因为他们是正义在视线中的至高者。,,1.0,人物甲和人物乙因作为至高者确保命令和法令无误而被视为义人。,
1,google_word_by_word,4,uw-174317-mcq,文本甲 1:6,mcq,为什么人物甲和人物乙被认为是义人？,They walked blamelessly in commandments.,0.0,False,1.0,他们在诫命中行无可指摘。,D,1.0,他们无可指摘地遵守了诫命。,D,1.0,他们无可指摘地遵守了诫命。,D
1,google_word_by_word,5,uw-174318-open,文本甲 1:7,open,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,0.0,False,1.0,两个都是无子女。,,1.0,因为人物乙不是有能力的。,,1.0,人物乙曾是不具备能力的后裔，且两人年事已高。,
1,google_word_by_word,6,uw-174318-mcq,文本甲 1:7,mcq,人物甲和人物乙为什么没有孩子？,Person B was unable to bear.,1.0,True,0.0,,,1.0,人物乙不能生育。,D,1.0,人物乙不能生育。,D
1,google_word_by_word,7,uw-174322-open,文本甲 1:11,open,谁在圣殿向人物甲显现？,An angel of the Master A.,0.0,False,1.0,天使,,1.0,天使,,1.0,天使,
1,google_word_by_word,8,uw-174322-mcq,文本甲 1:11,mcq,谁在圣殿向人物甲显现？,An angel of the Master A.,0.0,False,1.0,主的天使。,D,1.0,主的天使。,D,1.0,主的天使。,D
1,google_word_by_word,9,uw-174323-open,文本甲 1:12,open,人物甲如何对天使反应？,He was troubled and afraid.,1.0,True,0.0,他不害怕。,,0.0,他听到了。,,1.0,人物甲接受了天使的安慰，因请求被听到而不再害怕。,
1,google_word_by_word,10,uw-174323-mcq,文本甲 1:12,mcq,人物甲如何对天使反应？,He was troubled and afraid.,0.0,False,1.0,他感到惊恐并害怕。,C,1.0,他感到不安和害怕。,C,1.0,他感到不安和害怕。,C
1,google_word_by_word,11,uw-174324-open,文本甲 1:13,open,天使对人物甲说了什么？,Do not be afraid; Person B will have a son.,0.0,False,1.0,做不是是害怕的，你的请求有过听到。你的妻子人物乙将要熊你一个儿子，和你是到称呼他人物丙.,,1.0,做不是是害怕的，人物甲;你的请求有到过听到的。,,1.0,天使说：“做不是是害怕的，人物甲；你的请求有听过。你的妻子人物乙将要熊你一个儿子，和你的是到称呼他人物丙。”,
1,google_word_by_word,12,uw-174324-mcq,文本甲 1:13,mcq,天使对人物甲说了什么？,Do not be afraid; Person B will have a son.,1.0,True,0.0,,,1.0,不要害怕；人物乙将怀孕生子。,C,1.0,不要害怕；人物乙将怀孕生子。,C
1,google_word_by_word,13,uw-174325-open,文本甲 1:16,open,人物丙将为族群甲做什么？,Turn them back to Most High A.,0.0,False,1.0,他将带来后退许多的人们的族群甲到主人甲。,,1.0,他将带来后退。,,1.0,人物甲将带领族群甲到主人甲的至高者。,
1,google_word_by_word,14,uw-174325-mcq,文本甲 1:16,mcq,人物丙将为族群甲做什么？,Turn them back to Most High A.,1.0,True,0.0,建造一座新圣殿。,A,1.0,使他们转向神。,D,1.0,使他们转向神。,D
1,google_word_by_word,15,uw-174326-open,文本甲 1:17,open,人物丙的作为将为哪种人预备？,A people prepared for the Master A.,1.0,True,0.0,他将要带来后退多个族群到主人甲。,,1.0,准备好主人的人们。,,0.0,主人甲的至高者甲,
1,google_word_by_word,16,uw-174326-mcq,文本甲 1:17,mcq,人物丙的作为将为哪种人预备？,A people prepared for the Master A.,0.0,False,1.0,一支为主预备的民众。,D,1.0,一群为主预备的人。,D,1.0,一群为主预备的人。,D
1,google_word_by_word,17,uw-174328-open,文本甲 1:20,open,因不信，人物甲发生了什么？,He would not speak until birth.,1.0,True,0.0,他没有来。,,0.0,他不相信使者乙的消息。,,1.0,人物甲因不信被要求沉默并无法说话。,
1,google_word_by_word,18,uw-174328-mcq,文本甲 1:20,mcq,因不信，人物甲发生了什么？,He would not speak until birth.,0.0,False,0.0,他被圣殿驱逐。,D,0.0,被逐出圣殿。,D,0.0,被逐出圣殿。,D
1,google_word_by_word,19,uw-174329-open,文本甲 1:27,open,六个月后，使者乙访问了谁？,A virgin named Person D.,0.0,False,0.0,在第六月的人物乙 visited 镇庄甲。,,0.0,使者乙拜访了人物戊。,,0.0,使者乙拜访了人物戊。,
1,google_word_by_word,20,uw-174329-mcq,文本甲 1:27,mcq,六个月后，使者乙访问了谁？,A virgin named Person D.,1.0,True,0.0,,,1.0,一位名叫人物丁的童贞女。,C,1.0,一位名叫人物丁的童贞女。,C
1,google_word_by_word,21,uw-174330-open,文本甲 1:31,open,人物丁会发生什么事？,"She will bear a son, Person F.",0.0,False,0.0,做不成。,,0.0,他将要成为尊者。,,0.0,人物丁将成为伟大的统治者。,
1,google_word_by_word,22,uw-174330-mcq,文本甲 1:31,mcq,人物丁会发生什么事？,"She will bear a son, Person F.",1.0,True,0.0,她将成为一位皇后。,D,1.0,她将怀孕生下一个儿子，人物己。,B,1.0,她将怀孕生下一个儿子，人物己。,B
1,google_word_by_word,23,uw-174331-open,文本甲 1:33,open,孩子将做什么？,Reign over Ancestor B's descendants forever.,1.0,True,0.0,他将是伟大的和被称为这个儿子的尊者甲。,,1.0,将要是尊者，统治王国。,,0.0,这个孩子将成为至高者。,
1,google_word_by_word,24,uw-174331-mcq,文本甲 1:33,mcq,孩子将做什么？,Reign over Ancestor B's descendants forever.,0.0,False,1.0,永远统治祖先乙的后代。,A,1.0,永远统治祖先乙的后裔。,A,1.0,永远统治祖先乙的后裔。,A
1,google_word_by_word,25,uw-174332-open,文本甲 1:35,open,人物丁将如何以童贞女身份怀孕？,Spirit A will come upon her.,1.0,True,1.0,这 天使 回答说， “这 灵甲 将要 来 在 你， 和 这 力量 的 这 尊者甲 将要 蒙上阴影 你。 所以 这 圣 一 到 是 出生 将要 是 称为[b] 这 儿子 的 至高者甲.”,,0.0,这儿子将要出生。,,1.0,圣灵降临,
1,google_word_by_word,26,uw-174332-mcq,文本甲 1:35,mcq,人物丁如何以童贞女身份怀孕？,Spirit A will come upon her.,1.0,True,0.0,天使将祝福她,A,1.0,灵甲将降临她身上,D,1.0,灵甲将降临她身上,D
1,google_word_by_word,27,uw-174333-open,文本甲 1:35 (#2),open,圣婴是谁的儿子？,Son of Most High A.,1.0,True,0.0,圣婴是天使的儿子。,,1.0,至高者。,,1.0,圣婴是至高者甲的儿子。,
1,google_word_by_word,28,uw-174333-mcq,文本甲 1:35 (#2),mcq,圣婴是谁的儿子？,Son of Most High A.,1.0,True,1.0,至高者甲的儿子,A,1.0,神的儿子,A,0.0,君王甲的儿子,D
