chapter,method,source_words,error_count,weighted_penalty,penalty_per_1000_words,mqm_quality_0_1,source_file,translation_file,accuracy_addition_count,accuracy_addition_penalty,accuracy_mistranslation_count,accuracy_mistranslation_penalty,accuracy_omission_count,accuracy_omission_penalty,fluency_grammar_count,fluency_grammar_penalty,other_count,other_penalty,terminology_count,terminology_penalty,untranslated_non_translation_count,untranslated_non_translation_penalty,critical_count,major_count,minor_count
1,google_word_by_word,1721,36,112,65.07844276583381,0.015133528547937498,evaluation/outputs/luke1/1.7b/google_word_by_word/passage_source_decanonicalized.txt,evaluation/outputs/luke1/1.7b/google_word_by_word/passage_target.txt,0,0,9,41,1,5,23,59,0,0,3,7,0,0,0,19,17
1,llm_prompt_low,1721,15,39,22.66124346310285,0.04226320571695194,evaluation/outputs/luke1/1.7b/llm_prompt_low/passage_source_decanonicalized.txt,evaluation/outputs/luke1/1.7b/llm_prompt_low/passage_target.txt,0,0,6,10,8,28,1,1,0,0,0,0,0,0,0,6,9
1,llm_prompt_medium,1721,16,56,32.53922138291691,0.029815838256440467,evaluation/outputs/luke1/1.7b/llm_prompt_medium/passage_source_decanonicalized.txt,evaluation/outputs/luke1/1.7b/llm_prompt_medium/passage_target.txt,0,0,9,29,6,26,0,0,0,0,1,1,0,0,0,10,6
1,llm_prompt_high,1721,13,41,23.823358512492735,0.04028463753189298,evaluation/outputs/luke1/1.7b/llm_prompt_high/passage_source_decanonicalized.txt,evaluation/outputs/luke1/1.7b/llm_prompt_high/passage_target.txt,0,0,6,18,5,21,0,0,0,0,2,2,0,0,0,7,6
1,helsinki,1571,52,220,140.0381922342457,0.007090278059854403,evaluation/outputs/luke1/1.7b/helsinki/passage_source_decanonicalized.txt,evaluation/outputs/luke1/1.7b/helsinki/passage_target.txt,0,0,23,151,11,43,6,6,0,0,12,20,0,0,2,30,20
1,mBART-50,1571,38,138,87.84213876511777,0.011255919926059137,evaluation/outputs/luke1/1.7b/mBART-50/passage_source_decanonicalized.txt,evaluation/outputs/luke1/1.7b/mBART-50/passage_target.txt,0,0,23,91,7,31,5,5,1,5,1,1,1,5,0,25,13
1,nllb-200-distilled-600M,1571,38,70,44.55760661998727,0.021950231238909615,evaluation/outputs/luke1/1.7b/nllb-200-distilled-600M/passage_source_decanonicalized.txt,evaluation/outputs/luke1/1.7b/nllb-200-distilled-600M/passage_target.txt,0,0,13,29,5,21,20,20,0,0,0,0,0,0,0,8,30
1,nllb-200-1.3B,1571,18,54,34.373010821133036,0.02827014090082957,evaluation/outputs/luke1/1.7b/nllb-200-1.3B/passage_source_decanonicalized.txt,evaluation/outputs/luke1/1.7b/nllb-200-1.3B/passage_target.txt,0,0,10,38,2,6,6,10,0,0,0,0,0,0,0,9,9
2,google_word_by_word,1218,33,165,135.4679802955665,0.007327726239035484,evaluation/outputs/luke2/1.7b/google_word_by_word/passage_source_decanonicalized.txt,evaluation/outputs/luke2/1.7b/google_word_by_word/passage_target.txt,0,0,1,5,1,5,29,145,1,5,1,5,0,0,0,33,0
2,llm_prompt_low,1173,27,43,36.65814151747655,0.02655468272474136,evaluation/outputs/luke2/1.7b/llm_prompt_low/passage_source_decanonicalized.txt,evaluation/outputs/luke2/1.7b/llm_prompt_low/passage_target.txt,0,0,5,9,9,21,5,5,0,0,8,8,0,0,0,4,23
