id,chapter,ref,old_closed_prior,new_closed_prior,old_open_correct,new_open_correct,question
uw-174325-mcq,1,1:16,1.00,0.40,1,1,米珥将为泰隆做什么？
uw-174324-mcq,1,1:13,1.00,1.00,1,1,天使对珂温说了什么？
uw-174318-mcq,1,1:7,1.00,0.00,1,1,珂温和哈丽为什么没有孩子？
uw-174323-mcq,1,1:12,1.00,1.00,1,1,珂温对天使的反应如何？
uw-174326-mcq,1,1:17,1.00,0.80,1,1,米珥的行为将预备什么人？
uw-174317-mcq,1,1:6,1.00,1.00,1,1,珂温和哈丽为什么被认为是义人？
uw-174322-mcq,1,1:11,1.00,1.00,1,1,谁在圣殿向珂温显现？
uw-174316-mcq,1,1:4,1.00,1.00,1,1,隆里为什么写他的记述？
uw-174328-mcq,1,1:20,0.00,0.00,1,1,珂温因不信遭遇了什么？
uw-174329-mcq,1,1:27,1.00,0.60,1,0,六个月后维萨拜访了谁？
uw-174330-mcq,1,1:31,0.00,0.20,1,0,芮茉会发生什么？
uw-174331-mcq,1,1:33,0.80,1.00,1,1,这个孩子会做什么？
uw-174332-mcq,1,1:35,1.00,0.00,1,0,芮茉如何以童贞女身份受孕？
uw-174333-mcq,1,1:35(#2),1.00,1.00,0,0,圣婴是谁的儿子？
uw-174335-mcq,1,1:41,0.80,0.00,1,1,当芮茉问候哈丽时，哈丽的孩子做了什么？
uw-174336-mcq,1,1:42,0.00,0.00,1,1,哈丽说谁是有福的？
uw-174339-mcq,1,1:63,0.00,0.40,1,1,珂温写了关于孩子名字的什么？
uw-174340-mcq,1,1:64,1.00,1.00,1,1,珂温写完名字后发生了什么？
uw-174341-mcq,1,1:66,1.00,1.00,1,1,每个人都意识到了孩子的什么？
uw-174342-mcq,1,1:68,1.00,0.60,1,1,至高者完成了什么使珂温称赞？
uw-174343-mcq,1,1:77,0.80,1.00,1,1,珂温预言米珥将帮助人们知道什么？
uw-174344-mcq,1,1:80,0.80,0.00,1,1,米珥在哪里长大和生活？
uw-174346-mcq,2,2:4,0.00,0.20,1,1,米恒为什么去亚斯林？
uw-174347-mcq,2,2:7,0.00,0.00,1,1,芮茉把她刚出生的儿子放在哪里？
uw-174349-mcq,2,2:9,0.00,0.00,0,0,牧羊人如何回应天使？
uw-174350-mcq,2,2:11,1.00,1.00,1,1,天使给牧羊人报了什么消息？
uw-174351-mcq,2,2:15,0.00,0.00,1,1,天使离开后牧羊人去了哪里？
uw-174352-mcq,2,2:16,0.80,0.00,1,1,牧羊人在亚斯林找到了谁？
