experiment,variant,status,chapters_scored,chapter_count,missing_count,actual_rate_mean,combined_score,mcq_accuracy,open_llm_score_mean,answer_confidence_mean,insufficient_information_rate,evidence_supported_rate,generation_errors,total_items
omission,0%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7632978723404256,0.8723404255319149,0.6542553191489362,,,,0,188
omission,5%,missing,,0,8,,,,,,,,,
omission,10%,complete,"1,2,3,4,5,6,7,8",8,0,,0.6968085106382979,0.8191489361702128,0.574468085106383,,,,0,188
omission,15%,missing,,0,8,,,,,,,,,
omission,20%,complete,"1,2,3,4,5,6,7,8",8,0,,0.6781914893617021,0.7872340425531915,0.5691489361702128,,,,0,188
omission,30%,complete,"1,2,3,4,5,6,7,8",8,0,,0.598404255319149,0.7127659574468085,0.48404255319148937,,,,0,188
mistranslation,0%,missing,,0,8,,,,,,,,,
mistranslation,5%,missing,,0,8,,,,,,,,,
mistranslation,10%,missing,,0,8,,,,,,,,,
mistranslation,15%,missing,,0,8,,,,,,,,,
mistranslation,20%,complete,"1,2,3,4,5,6,7,8",8,0,,0.6728723404255319,0.776595744680851,0.5691489361702128,,,,0,188
mistranslation,30%,missing,,0,8,,,,,,,,,
grammar,0%,missing,,0,8,,,,,,,,,
grammar,5%,missing,,0,8,,,,,,,,,
grammar,10%,missing,,0,8,,,,,,,,,
grammar,15%,missing,,0,8,,,,,,,,,
grammar,20%,missing,,0,8,,,,,,,,,
grammar,30%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7553191489361702,0.8617021276595744,0.648936170212766,,,,0,188
