"condition","source","replacement","category","mode","start","end"
"Mistranslation 15%","许多人","少数人","semantic_substitution","contextual",7,10
"Mistranslation 15%","起初","后来","time","contextual",35,37
"Mistranslation 15%","祭司班次","文士班次","term","systematic",263,267
"Mistranslation 15%","义行无瑕","行为平凡","attribute","contextual",338,342
"Mistranslation 15%","无子","多子","attribute","contextual",373,375
"Mistranslation 15%","年事已高","年轻力壮","attribute","contextual",400,404
"Mistranslation 15%","所有聚集的敬拜者","所有聚集的旁观者","entity","contextual",545,553
"Mistranslation 15%","天使向他显现","天使向他隐没","action","contextual",585,591
"Mistranslation 15%","惊慌害怕","平静安详","attribute","contextual",639,643
"Mistranslation 15%","不要害怕","要害怕","action","contextual",654,658
"Mistranslation 15%","带给你喜乐和欢欣","带给你忧愁和悲伤","attribute","contextual",748,756
"Mistranslation 15%","他不可喝酒或醉酒","他可以喝酒或醉酒","action","contextual",795,803
"Mistranslation 15%","我已经年老","我还年轻","attribute","contextual",983,988
"Mistranslation 15%","奉差遣对你说话","未奉差遣对你说话","action","contextual",1055,1062
"Mistranslation 15%","将这美事报给你","将这坏事报给你","semantic_substitution","contextual",1064,1071
"Mistranslation 15%","因为你不信我的话","因为你信我的话","attribute","contextual",1093,1101
"Mistranslation 15%","职任期满","职任未满","time","contextual",1230,1234
"Mistranslation 15%","回家","离家","action","contextual",1236,1238
"Mistranslation 15%","怀孕，隐藏了五个月","怀孕，公开了五个月","action","contextual",1262,1271
"Mistranslation 15%","怀孕第六个月","怀孕第三个月","number_time","contextual",1364,1370
"Mistranslation 15%","主与你同在","主不与你同在","theological_term","contextual",1572,1577
"Mistranslation 15%","大大惊奇","毫无惊奇","attribute","contextual",1602,1606
"Mistranslation 15%","圣灵要临到你","圣灵不会临到你","theological_term","contextual",1833,1839
"Mistranslation 15%","所要生的圣者必称为至高者的子","所要生的圣者不会称为至高者的子","theological_term","contextual",1852,1866
"Mistranslation 15%","尽管她年老且素来不能怀孕","尽管她年轻且素来能怀孕","attribute","contextual",1892,1904
"Mistranslation 15%","至高者的话绝不会落空","至高者的话必定落空","theological_term","contextual",1918,1928
"Mistranslation 15%","愿照你的话成就在我身上","不愿照你的话成就在我身上","action","contextual",1976,1987
"Mistranslation 15%","天使离开她","天使留在她身边","action","contextual",1991,1996
"Mistranslation 15%","你在女人中是有福的","你在女人中是不幸的","attribute","contextual",2193,2202
"Mistranslation 15%","主的母亲竟来我这里","主的母亲远离我这里","action","contextual",2226,2235
"Mistranslation 15%","腹中胎儿就欢跃","腹中胎儿就沉默","attribute","contextual",2249,2256
"Mistranslation 15%","全能者为我成就了大事","全能者未为我成就大事","action","contextual",2405,2415
"Mistranslation 15%","他的名为圣","他的名为俗","attribute","contextual",2419,2424
"Mistranslation 15%","高举卑微人","贬低卑微人","action","contextual",2494,2499
"Mistranslation 15%","使饥饿的人得美食","使饥饿的人继续饥饿","action","contextual",2507,2515
"Mistranslation 15%","扶助他的仆人以色列","忽视他的仆人以色列","action","contextual",2537,2546
"Mistranslation 15%","记念施怜悯给我们的祖先","忘记施怜悯给我们的祖先","action","contextual",2550,2561
"Mistranslation 15%","直到永远","直到终结","time","contextual",2583,2587
"Mistranslation 15%","第八天","第七天","number_time","contextual",2726,2729
"Mistranslation 15%","用手势问孩子的父亲想叫他什么名","用言语问孩子的父亲想叫他什么名","action","contextual",2830,2845
"Mistranslation 15%","邻居们都惊奇","邻居们都无感","attribute","contextual",2932,2938
"Mistranslation 15%","听见这事的人都议论","听见这事的人都沉默","action","contextual",2960,2969
"Mistranslation 15%","凡听见的都揣摩这孩子将成为什么样的人","凡听见的都忽略这孩子将成为什么样的人","action","contextual",2973,2991
"Mistranslation 15%","讲预言说","保持沉默不说","action","contextual",3051,3055
"Mistranslation 15%","应当称赞主","应当责备主","semantic_substitution","contextual",3066,3071
"Mistranslation 15%","以色列的神","非以色列的神","entity","contextual",3080,3085
"Mistranslation 15%","救赎他们","弃绝他们","action","contextual",3102,3106
"Mistranslation 15%","兴起了救恩的角","废弃了救恩的角","action","contextual",3117,3124
"Mistranslation 15%","施怜悯给我们的列祖","忽视我们的列祖","action","contextual",3188,3197
"Mistranslation 15%","记念他与他们所立的圣约","忘记他与他们所立的圣约","action","contextual",3202,3213
"Mistranslation 15%","无所畏惧地事奉他","惧怕地背叛他","action","contextual",3271,3279
"Mistranslation 15%","孩子，将被称为至尊者的先知","孩子，将被称为凡人的先知","role","contextual",3289,3302
"Mistranslation 15%","在主面前预备道路","在主面前阻断道路","action","contextual",3307,3315
"Mistranslation 15%","因我们至高者的慈悲","因我们至高者的愤怒","attribute","contextual",3351,3360
"Mistranslation 15%","照耀在黑暗或死亡阴影中的人","隐藏在光明中的人","attribute","contextual",3381,3394
"Mistranslation 15%","引导我们的脚步行走平安之路","引导我们的脚步走向危险之路","action","contextual",3398,3411
"Mistranslation 15%","心灵坚强","心灵软弱","attribute","contextual",3427,3431
"Mistranslation 15%","在旷野生活","在城市生活","location","contextual",3432,3437
"Mistranslation 30%","许多人","少数人","semantic_substitution","contextual",7,10
"Mistranslation 30%","起初","后来","time","contextual",35,37
"Mistranslation 30%","祭司班次","文士班次","term","systematic",263,267
"Mistranslation 30%","义行无瑕","行为平凡","attribute","contextual",338,342
"Mistranslation 30%","无子","多子","attribute","contextual",373,375
"Mistranslation 30%","无法怀孕","容易怀孕","attribute","contextual",392,396
"Mistranslation 30%","年事已高","年轻力壮","attribute","contextual",400,404
"Mistranslation 30%","班次值勤","班次休息","action","contextual",430,434
"Mistranslation 30%","按祭司的规矩抽签","按祭司的规矩放弃抽签","action","contextual",459,467
"Mistranslation 30%","所有聚集的敬拜者","所有聚集的旁观者","entity","contextual",545,553
"Mistranslation 30%","在外面等待","在里面等待","location","contextual",554,559
"Mistranslation 30%","天使向他显现","天使向他隐没","action","contextual",585,591
"Mistranslation 30%","惊慌害怕","平静安详","attribute","contextual",639,643
"Mistranslation 30%","不要害怕","要害怕","action","contextual",654,658
"Mistranslation 30%","带给你喜乐和欢欣","带给你忧愁和悲伤","attribute","contextual",748,756
"Mistranslation 30%","许多人因他的诞生欢喜","许多人因他的诞生忧愁","attribute","contextual",757,767
"Mistranslation 30%","他不可喝酒或醉酒","他可以喝酒或醉酒","action","contextual",795,803
"Mistranslation 30%","将父亲的心转向儿女","将父亲的心远离儿女","action","contextual",901,910
"Mistranslation 30%","使悖逆的归向义人的智慧","使悖逆的远离义人的智慧","action","contextual",911,922
"Mistranslation 30%","我已经年老","我还年轻","attribute","contextual",983,988
"Mistranslation 30%","年纪甚高","年纪甚轻","attribute","contextual",993,997
"Mistranslation 30%","奉差遣对你说话","未奉差遣对你说话","action","contextual",1055,1062
"Mistranslation 30%","将这美事报给你","将这坏事报给你","semantic_substitution","contextual",1064,1071
"Mistranslation 30%","你必闭口不能言语","你必畅所欲言","action","contextual",1084,1092
"Mistranslation 30%","因为你不信我的话","因为你信我的话","attribute","contextual",1093,1101
"Mistranslation 30%","话到了定期就必应验","话到了定期必不应验","semantic_substitution","contextual",1103,1112
"Mistranslation 30%","他出来不能与他们说话","他出来能与他们说话","action","contextual",1169,1179
"Mistranslation 30%","不停比手势给他们看","不停保持沉默","action","contextual",1207,1216
"Mistranslation 30%","无法言语","能言善辩","attribute","contextual",1218,1222
"Mistranslation 30%","职任期满","职任未满","time","contextual",1230,1234
"Mistranslation 30%","回家","离家","action","contextual",1236,1238
"Mistranslation 30%","怀孕，隐藏了五个月","怀孕，公开了五个月","action","contextual",1262,1271
"Mistranslation 30%","除去了民间我的羞辱","加添了民间我的羞辱","attribute","contextual",1310,1319
"Mistranslation 30%","怀孕第六个月","怀孕第三个月","number_time","contextual",1364,1370
"Mistranslation 30%","蒙恩的女子","被诅咒的女子","attribute","contextual",1563,1568
"Mistranslation 30%","主与你同在","主不与你同在","theological_term","contextual",1572,1577
"Mistranslation 30%","大大惊奇","毫无惊奇","attribute","contextual",1602,1606
"Mistranslation 30%","怀孕生子","未怀孕生子","action","contextual",1658,1662
"Mistranslation 30%","为大","为小","attribute","contextual",1687,1689
"Mistranslation 30%","至尊者的子","凡人的子","theological_term","contextual",1693,1698
"Mistranslation 30%","国度永无终结","国度终结","attribute","contextual",1754,1760
"Mistranslation 30%","圣灵要临到你","圣灵不会临到你","theological_term","contextual",1833,1839
"Mistranslation 30%","至尊者的能力要荫庇你","至尊者的能力不会荫庇你","theological_term","contextual",1840,1850
"Mistranslation 30%","所要生的圣者必称为至高者的子","所要生的圣者不会称为至高者的子","theological_term","contextual",1852,1866
"Mistranslation 30%","尽管她年老且素来不能怀孕","尽管她年轻且素来能怀孕","attribute","contextual",1892,1904
"Mistranslation 30%","现已怀孕六个月","现未怀孕六个月","attribute","contextual",1905,1912
"Mistranslation 30%","至高者的话绝不会落空","至高者的话必定落空","theological_term","contextual",1918,1928
"Mistranslation 30%","愿照你的话成就在我身上","不愿照你的话成就在我身上","action","contextual",1976,1987
"Mistranslation 30%","天使离开她","天使留在她身边","action","contextual",1991,1996
"Mistranslation 30%","胎儿在腹中跳动","胎儿在腹中静止","attribute","contextual",2156,2163
"Mistranslation 30%","充满了圣灵","缺乏圣灵","attribute","contextual",2178,2183
"Mistranslation 30%","你在女人中是有福的","你在女人中是不幸的","attribute","contextual",2193,2202
"Mistranslation 30%","你所怀的孩子也是有福的","你所怀的孩子是不幸的","attribute","contextual",2203,2214
"Mistranslation 30%","主的母亲竟来我这里","主的母亲远离我这里","action","contextual",2226,2235
"Mistranslation 30%","腹中胎儿就欢跃","腹中胎儿就沉默","attribute","contextual",2249,2256
"Mistranslation 30%","信主应许的，真是有福了","不信主应许的，真是不幸了","attribute","contextual",2260,2271
"Mistranslation 30%","我的心尊主为大","我的心轻视主","attribute","contextual",2319,2326
"Mistranslation 30%","万代要称我有福","万代要称我不幸","attribute","contextual",2390,2397
"Mistranslation 30%","全能者为我成就了大事","全能者未为我成就大事","action","contextual",2405,2415
"Mistranslation 30%","他的名为圣","他的名为俗","attribute","contextual",2419,2424
"Mistranslation 30%","他怜悯敬畏他的人","他忽视敬畏他的人","action","contextual",2431,2439
"Mistranslation 30%","直到万代","直到终结","time","contextual",2443,2447
"Mistranslation 30%","驱散心怀骄傲的人","聚集心怀骄傲的人","action","contextual",2466,2474
"Mistranslation 30%","使有权柄的离位","使有权柄的就位","action","contextual",2482,2489
"Mistranslation 30%","高举卑微人","贬低卑微人","action","contextual",2494,2499
"Mistranslation 30%","使饥饿的人得美食","使饥饿的人继续饥饿","action","contextual",2507,2515
"Mistranslation 30%","叫富足的人空手回去","叫富足的人满载而归","action","contextual",2520,2529
"Mistranslation 30%","扶助他的仆人以色列","忽视他的仆人以色列","action","contextual",2537,2546
"Mistranslation 30%","记念施怜悯给我们的祖先","忘记施怜悯给我们的祖先","action","contextual",2550,2561
"Mistranslation 30%","直到永远","直到终结","time","contextual",2583,2587
"Mistranslation 30%","住了约三个月","住了约三天","number_time","contextual",2625,2631
"Mistranslation 30%","临产的时候","未临产的时候","time","contextual",2683,2688
"Mistranslation 30%","邻居亲友听说主怜悯她","邻居亲友听说主弃绝她","semantic_substitution","contextual",2700,2710
"Mistranslation 30%","和她一同欢喜","和她一同悲伤","attribute","contextual",2712,2718
"Mistranslation 30%","第八天","第七天","number_time","contextual",2726,2729
"Mistranslation 30%","行割礼","不行割礼","action","contextual",2736,2739
"Mistranslation 30%","你亲戚中无人叫这名字","你亲戚中有人叫这名字","attribute","contextual",2810,2820
"Mistranslation 30%","用手势问孩子的父亲想叫他什么名","用言语问孩子的父亲想叫他什么名","action","contextual",2830,2845
"Mistranslation 30%","口开通，舌头释放","口闭合，舌头缠绕","attribute","contextual",2892,2900
"Mistranslation 30%","邻居们都惊奇","邻居们都无感","attribute","contextual",2932,2938
"Mistranslation 30%","听见这事的人都议论","听见这事的人都沉默","action","contextual",2960,2969
"Mistranslation 30%","凡听见的都揣摩这孩子将成为什么样的人","凡听见的都忽略这孩子将成为什么样的人","action","contextual",2973,2991
"Mistranslation 30%","主的手与他同在","主的手远离他","theological_term","contextual",2994,3001
"Mistranslation 30%","被圣灵充满","缺乏圣灵","attribute","contextual",3045,3050
"Mistranslation 30%","讲预言说","保持沉默不说","action","contextual",3051,3055
"Mistranslation 30%","应当称赞主","应当责备主","semantic_substitution","contextual",3066,3071
"Mistranslation 30%","以色列的神","非以色列的神","entity","contextual",3080,3085
"Mistranslation 30%","救赎他们","弃绝他们","action","contextual",3102,3106
"Mistranslation 30%","兴起了救恩的角","废弃了救恩的角","action","contextual",3117,3124
"Mistranslation 30%","使我们从仇敌手中得拯救","使我们落入仇敌手中","action","contextual",3170,3181
"Mistranslation 30%","施怜悯给我们的列祖","忽视我们的列祖","action","contextual",3188,3197
"Mistranslation 30%","记念他与他们所立的圣约","忘记他与他们所立的圣约","action","contextual",3202,3213
"Mistranslation 30%","向我们祖宗亚伯拉罕所起的誓言","违背我们祖宗亚伯拉罕所起的誓言","action","contextual",3221,3235
"Mistranslation 30%","救我们脱离仇敌的手","让我们落入仇敌的手","action","contextual",3243,3252
"Mistranslation 30%","终身在圣洁公义中","终身在罪恶中","attribute","contextual",3259,3267
"Mistranslation 30%","无所畏惧地事奉他","惧怕地背叛他","action","contextual",3271,3279
"Mistranslation 30%","孩子，将被称为至尊者的先知","孩子，将被称为凡人的先知","role","contextual",3289,3302
"Mistranslation 30%","在主面前预备道路","在主面前阻断道路","action","contextual",3307,3315
"Mistranslation 30%","给他的百姓带来救恩的知识","给他的百姓带来毁灭的知识","semantic_substitution","contextual",3322,3334
"Mistranslation 30%","通过罪得赦免","通过罪受罚","semantic_substitution","contextual",3338,3344
"Mistranslation 30%","因我们至高者的慈悲","因我们至高者的愤怒","attribute","contextual",3351,3360
"Mistranslation 30%","天上的晨光要照耀我们","天上的黑暗要笼罩我们","attribute","contextual",3364,3374
"Mistranslation 30%","照耀在黑暗或死亡阴影中的人","隐藏在光明中的人","attribute","contextual",3381,3394
"Mistranslation 30%","引导我们的脚步行走平安之路","引导我们的脚步走向危险之路","action","contextual",3398,3411
"Mistranslation 30%","心灵坚强","心灵软弱","attribute","contextual",3427,3431
