chapter,item_id,item_index,q_type,reference,method,model
luke2,uw-174346-open,1,open,文本甲 2:4,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174351-mcq,10,mcq,文本甲 2:15,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174352-open,11,open,文本甲 2:16,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174352-mcq,12,mcq,文本甲 2:16,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174354-open,13,open,文本甲 2:22,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174354-mcq,14,mcq,文本甲 2:22,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174355-open,15,open,文本甲 2:26,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174355-mcq,16,mcq,文本甲 2:26,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174357-open,17,open,文本甲 2:35,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174357-mcq,18,mcq,文本甲 2:35,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174359-open,19,open,文本甲 2:40,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174346-mcq,2,mcq,文本甲 2:4,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174359-mcq,20,mcq,文本甲 2:40,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174361-open,21,open,文本甲 2:46,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174361-mcq,22,mcq,文本甲 2:46,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174362-open,23,open,文本甲 2:49,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174362-mcq,24,mcq,文本甲 2:49,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174347-open,3,open,文本甲 2:7,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174347-mcq,4,mcq,文本甲 2:7,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174349-open,5,open,文本甲 2:9,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174349-mcq,6,mcq,文本甲 2:9,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174350-open,7,open,文本甲 2:11,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174350-mcq,8,mcq,文本甲 2:11,nllb-200-distilled-600M,qwen1.7b
luke2,uw-174351-open,9,open,文本甲 2:15,nllb-200-distilled-600M,qwen1.7b
luke4,uw-174377-open,1,open,__文本甲__ 4:1,helsinki,qwen1.7b
luke4,uw-174381-mcq,10,mcq,__文本甲__ 4:5,helsinki,qwen1.7b
luke4,uw-174382-open,11,open,__文本甲__ 4:7,helsinki,qwen1.7b
luke4,uw-174382-mcq,12,mcq,__文本甲__ 4:7,helsinki,qwen1.7b
luke4,uw-174384-open,13,open,__文本甲__ 4:9,helsinki,qwen1.7b
luke4,uw-174384-mcq,14,mcq,__文本甲__ 4:9,helsinki,qwen1.7b
luke4,uw-174387-open,15,open,__文本甲__ 4:17,helsinki,qwen1.7b
luke4,uw-174387-mcq,16,mcq,__文本甲__ 4:17,helsinki,qwen1.7b
luke4,uw-174388-open,17,open,__文本甲__ 4:21,helsinki,qwen1.7b
luke4,uw-174388-mcq,18,mcq,__文本甲__ 4:21,helsinki,qwen1.7b
luke4,uw-174389-open,19,open,__文本甲__ 4:24,helsinki,qwen1.7b
luke4,uw-174377-mcq,2,mcq,__文本甲__ 4:1,helsinki,qwen1.7b
luke4,uw-174389-mcq,20,mcq,__文本甲__ 4:24,helsinki,qwen1.7b
luke4,uw-174392-open,21,open,__文本甲__ 4:28,helsinki,qwen1.7b
luke4,uw-174392-mcq,22,mcq,__文本甲__ 4:28,helsinki,qwen1.7b
luke4,uw-174393-open,23,open,__文本甲__ 4:29,helsinki,qwen1.7b
luke4,uw-174393-mcq,24,mcq,__文本甲__ 4:29,helsinki,qwen1.7b
luke4,uw-174394-open,25,open,__文本甲__ 4:30,helsinki,qwen1.7b
luke4,uw-174394-mcq,26,mcq,__文本甲__ 4:30,helsinki,qwen1.7b
luke4,uw-174395-open,27,open,__文本甲__ 4:34,helsinki,qwen1.7b
luke4,uw-174395-mcq,28,mcq,__文本甲__ 4:34,helsinki,qwen1.7b
luke4,uw-174396-open,29,open,__文本甲__ 4:36,helsinki,qwen1.7b
luke4,uw-174378-open,3,open,__文本甲__ 4:2,helsinki,qwen1.7b
luke4,uw-174396-mcq,30,mcq,__文本甲__ 4:36,helsinki,qwen1.7b
luke4,uw-174396-open,31,open,__文本甲__ 4:36,helsinki,qwen1.7b
luke4,uw-174396-mcq,32,mcq,__文本甲__ 4:36,helsinki,qwen1.7b
luke4,uw-174397-open,33,open,__文本甲__ 4:40,helsinki,qwen1.7b
luke4,uw-174397-mcq,34,mcq,__文本甲__ 4:40,helsinki,qwen1.7b
luke4,uw-174398-open,35,open,__文本甲__ 4:41,helsinki,qwen1.7b
luke4,uw-174398-mcq,36,mcq,__文本甲__ 4:41,helsinki,qwen1.7b
luke4,uw-174398-open,37,open,__文本甲__ 4:41,helsinki,qwen1.7b
luke4,uw-174398-mcq,38,mcq,__文本甲__ 4:41,helsinki,qwen1.7b
luke4,uw-174399-open,39,open,__文本甲__ 4:43,helsinki,qwen1.7b
luke4,uw-174378-mcq,4,mcq,__文本甲__ 4:2,helsinki,qwen1.7b
luke4,uw-174399-mcq,40,mcq,__文本甲__ 4:43,helsinki,qwen1.7b
luke4,uw-174396-open,41,open,__文本甲__ 4:36,helsinki,qwen1.7b
luke4,uw-174396-mcq,42,mcq,__文本甲__ 4:36,helsinki,qwen1.7b
luke4,uw-174398-open,43,open,__文本甲__ 4:41,helsinki,qwen1.7b
luke4,uw-174398-mcq,44,mcq,__文本甲__ 4:41,helsinki,qwen1.7b
luke4,uw-174379-open,5,open,__文本甲__ 4:3,helsinki,qwen1.7b
luke4,uw-174379-mcq,6,mcq,__文本甲__ 4:3,helsinki,qwen1.7b
luke4,uw-174380-open,7,open,__文本甲__ 4:4,helsinki,qwen1.7b
luke4,uw-174380-mcq,8,mcq,__文本甲__ 4:4,helsinki,qwen1.7b
luke4,uw-174381-open,9,open,__文本甲__ 4:5,helsinki,qwen1.7b
luke7,uw-174429-open,1,open,文本甲 7:3,llm_prompt_medium,llama1b
luke7,uw-174434-mcq,10,mcq,文本甲 7:16,llm_prompt_medium,llama1b
luke7,uw-174436-open,11,open,文本甲 7:26,llm_prompt_medium,llama1b
luke7,uw-174436-mcq,12,mcq,文本甲 7:26,llm_prompt_medium,llama1b
luke7,uw-174440-open,13,open,文本甲 7:38,llm_prompt_medium,llama1b
luke7,uw-174440-mcq,14,mcq,文本甲 7:38,llm_prompt_medium,llama1b
luke7,uw-174441-open,15,open,文本甲 7:47,llm_prompt_medium,llama1b
luke7,uw-174441-mcq,16,mcq,文本甲 7:47,llm_prompt_medium,llama1b
luke7,uw-174442-open,17,open,文本甲 7:49,llm_prompt_medium,llama1b
luke7,uw-174442-mcq,18,mcq,文本甲 7:49,llm_prompt_medium,llama1b
luke7,uw-174429-mcq,2,mcq,文本甲 7:3,llm_prompt_medium,llama1b
luke7,uw-174430-open,3,open,文本甲 7:6,llm_prompt_medium,llama1b
luke7,uw-174430-mcq,4,mcq,文本甲 7:6,llm_prompt_medium,llama1b
luke7,uw-174431-open,5,open,文本甲 7:7,llm_prompt_medium,llama1b
luke7,uw-174431-mcq,6,mcq,文本甲 7:7,llm_prompt_medium,llama1b
luke7,uw-174432-open,7,open,文本甲 7:9,llm_prompt_medium,llama1b
luke7,uw-174432-mcq,8,mcq,文本甲 7:9,llm_prompt_medium,llama1b
luke7,uw-174434-open,9,open,文本甲 7:16,llm_prompt_medium,llama1b
luke8,uw-174448-mcq,10,mcq,文本甲 8:15,google_word_by_word,llama1b
luke8,uw-174448-mcq,10,mcq,文本甲 8:15,helsinki,llama1b
luke8,uw-174448-mcq,10,mcq,文本甲 8:15,llm_prompt_low,llama1b
luke8,uw-174448-mcq,10,mcq,文本甲 8:15,llm_prompt_medium,llama1b
luke8,uw-174448-mcq,10,mcq,文本甲 8:15,mBART-50,llama1b
luke8,uw-174448-mcq,10,mcq,文本甲 8:15,nllb-200-distilled-600M,llama1b
luke8,uw-174449-open,11,open,文本甲 8:21,google_word_by_word,llama1b
luke8,uw-174449-open,11,open,文本甲 8:21,helsinki,llama1b
luke8,uw-174449-open,11,open,文本甲 8:21,llm_prompt_low,llama1b
luke8,uw-174449-open,11,open,文本甲 8:21,llm_prompt_medium,llama1b
luke8,uw-174449-open,11,open,文本甲 8:21,mBART-50,llama1b
luke8,uw-174449-open,11,open,文本甲 8:21,nllb-200-distilled-600M,llama1b
luke8,uw-174449-mcq,12,mcq,文本甲 8:21,google_word_by_word,llama1b
luke8,uw-174449-mcq,12,mcq,文本甲 8:21,helsinki,llama1b
luke8,uw-174449-mcq,12,mcq,文本甲 8:21,llm_prompt_low,llama1b
luke8,uw-174449-mcq,12,mcq,文本甲 8:21,llm_prompt_medium,llama1b
luke8,uw-174449-mcq,12,mcq,文本甲 8:21,mBART-50,llama1b
luke8,uw-174449-mcq,12,mcq,文本甲 8:21,nllb-200-distilled-600M,llama1b
luke8,uw-174452-open,13,open,文本甲 8:33,google_word_by_word,llama1b
luke8,uw-174452-open,13,open,文本甲 8:33,helsinki,llama1b
luke8,uw-174452-open,13,open,文本甲 8:33,llm_prompt_low,llama1b
luke8,uw-174452-open,13,open,文本甲 8:33,llm_prompt_medium,llama1b
luke8,uw-174452-open,13,open,文本甲 8:33,mBART-50,llama1b
luke8,uw-174452-open,13,open,文本甲 8:33,nllb-200-distilled-600M,llama1b
luke8,uw-174452-mcq,14,mcq,文本甲 8:33,google_word_by_word,llama1b
luke8,uw-174452-mcq,14,mcq,文本甲 8:33,helsinki,llama1b
luke8,uw-174452-mcq,14,mcq,文本甲 8:33,llm_prompt_low,llama1b
luke8,uw-174452-mcq,14,mcq,文本甲 8:33,llm_prompt_medium,llama1b
luke8,uw-174452-mcq,14,mcq,文本甲 8:33,mBART-50,llama1b
luke8,uw-174452-mcq,14,mcq,文本甲 8:33,nllb-200-distilled-600M,llama1b
luke8,uw-174454-open,15,open,文本甲 8:48,google_word_by_word,llama1b
luke8,uw-174454-open,15,open,文本甲 8:48,helsinki,llama1b
luke8,uw-174454-open,15,open,文本甲 8:48,llm_prompt_low,llama1b
luke8,uw-174454-open,15,open,文本甲 8:48,llm_prompt_medium,llama1b
luke8,uw-174454-open,15,open,文本甲 8:48,mBART-50,llama1b
luke8,uw-174454-open,15,open,文本甲 8:48,nllb-200-distilled-600M,llama1b
luke8,uw-174454-mcq,16,mcq,文本甲 8:48,google_word_by_word,llama1b
luke8,uw-174454-mcq,16,mcq,文本甲 8:48,helsinki,llama1b
luke8,uw-174454-mcq,16,mcq,文本甲 8:48,llm_prompt_low,llama1b
luke8,uw-174454-mcq,16,mcq,文本甲 8:48,llm_prompt_medium,llama1b
luke8,uw-174454-mcq,16,mcq,文本甲 8:48,mBART-50,llama1b
luke8,uw-174454-mcq,16,mcq,文本甲 8:48,nllb-200-distilled-600M,llama1b
luke8,uw-174455-open,17,open,文本甲 8:55,google_word_by_word,llama1b
luke8,uw-174455-open,17,open,文本甲 8:55,helsinki,llama1b
luke8,uw-174455-open,17,open,文本甲 8:55,llm_prompt_low,llama1b
luke8,uw-174455-open,17,open,文本甲 8:55,llm_prompt_medium,llama1b
luke8,uw-174455-open,17,open,文本甲 8:55,mBART-50,llama1b
luke8,uw-174455-open,17,open,文本甲 8:55,nllb-200-distilled-600M,llama1b
luke8,uw-174455-mcq,18,mcq,文本甲 8:55,google_word_by_word,llama1b
luke8,uw-174455-mcq,18,mcq,文本甲 8:55,helsinki,llama1b
luke8,uw-174455-mcq,18,mcq,文本甲 8:55,llm_prompt_low,llama1b
luke8,uw-174455-mcq,18,mcq,文本甲 8:55,llm_prompt_medium,llama1b
luke8,uw-174455-mcq,18,mcq,文本甲 8:55,mBART-50,llama1b
luke8,uw-174455-mcq,18,mcq,文本甲 8:55,nllb-200-distilled-600M,llama1b
