rank,chapter,id,reference,key,closed_guess,closed_correct,prior_answerability,category,clean_1.7b_correct,dead_weight,question,A,B,C,D
1,1,uw-174316-mcq,1:4,B,B,True,0.95,R,True,True,隆里为什么写他的记述？,为了用故事娱乐珈恒。,为了使珈恒确信无疑。,为了用谜语使珈恒困惑。,为了警告珈恒危险。
2,1,uw-174317-mcq,1:6,D,D,True,0.95,R,True,True,珂温和哈丽为什么被认为是义人？,他们捐出了全部财富。,他们每天禁食。,他们行了许多奇迹。,他们无可指摘地遵守了诫命。
3,1,uw-174318-mcq,1:7,D,D,True,0.95,R,True,True,珂温和哈丽为什么没有孩子？,他们一直在旅行。,他们太忙于工作。,他们选择不生孩子。,哈丽不能生育。
4,1,uw-174322-mcq,1:11,D,D,True,0.95,R,True,True,谁在圣殿向珂温显现？,一个卖香的商人。,一个罗马士兵。,另一班的祭司。,主的天使。
5,1,uw-174323-mcq,1:12,C,C,True,0.95,R,True,True,珂温对天使的反应如何？,他喜笑颜开。,他无视天使。,他感到不安和害怕。,他唱了一首赞美诗。
6,1,uw-174325-mcq,1:16,D,D,True,0.95,R,True,True,米珥将为泰隆做什么？,建造一个新圣殿。,带领他们作战。,教他们耕种。,使他们转向神。
7,1,uw-174326-mcq,1:17,D,D,True,0.95,R,True,True,米珥的行为将预备什么人？,一群为战争准备的人。,一群擅长贸易的人。,一群精通艺术的人。,一群为主预备的人。
8,1,uw-174328-mcq,1:20,A,A,True,0.95,R,True,True,珂温因不信遭遇了什么？,直到孩子出生前他都不能说话。,他被雷击中。,暂时失明。,被逐出圣殿。
9,1,uw-174329-mcq,1:27,C,C,True,0.95,R,True,True,六个月后维萨拜访了谁？,一位国王在宫殿中。,海边的渔夫。,一位名叫芮茉的童贞女。,田野里的牧羊人。
10,1,uw-174330-mcq,1:31,B,B,True,0.95,R,True,True,芮茉会发生什么？,她会建造一个新家。,她将怀孕生下一个儿子，玛伦。,她将前往埃及旅行。,她将成为一位女王。
11,1,uw-174331-mcq,1:33,A,A,True,0.95,R,True,True,这个孩子会做什么？,永远统治隆松的后裔。,写许多书。,领导一场反罗马的叛乱。,成为著名的木匠。
12,1,uw-174333-mcq,1:35(#2),A,A,True,0.95,R,True,True,圣婴是谁的儿子？,神的儿子,珂温的儿子,米恒的儿子,芮谷的儿子
13,1,uw-174335-mcq,1:41,B,B,True,0.95,R,True,True,当芮茉问候哈丽时，哈丽的孩子做了什么？,大声哭泣,在她的子宫里跳跃,保持不动,踢她
14,1,uw-174340-mcq,1:64,C,C,True,0.95,R,True,True,珂温写完名字后发生了什么？,他离开了圣殿,他昏厥了,他说话并赞美神,他再次变得哑口无言
15,1,uw-174341-mcq,1:66,B,B,True,0.95,R,True,True,每个人都意识到了孩子的什么？,他长得像珂温,主的手与他同在,他非常强壮,他将成为伟大的王
16,1,uw-174342-mcq,1:68,A,A,True,0.95,R,True,True,至高者完成了什么使珂温称赞？,为他的子民带来了救赎,战胜了敌人,建造了一座新圣殿,派遣了一位新先知
17,1,uw-174343-mcq,1:77,A,A,True,0.95,R,True,True,珂温预言米珥将帮助人们知道什么？,如何通过宽恕得救,如何建造一座圣殿,如何击败敌人,如何变得富有
18,1,uw-174344-mcq,1:80,C,C,True,0.95,R,True,True,米珥在哪里长大和生活？,在伯利恒,在泰洛村,在旷野,在维珥顿城
19,2,uw-174346-mcq,2:4,C,C,True,0.95,R,True,True,米恒为什么去亚斯林？,找工作,拜访亲戚,登记户口,逃避危险
20,2,uw-174347-mcq,2:7,D,D,True,0.95,R,True,True,芮茉把她刚出生的儿子放在哪里？,床上,摇篮里,篮子里,马槽里
21,2,uw-174349-mcq,2:9,D,D,True,0.95,R,True,True,牧羊人如何回应天使？,他们生气了,他们漠不关心,他们很高兴,他们非常害怕
22,2,uw-174350-mcq,2:11,A,A,True,0.95,R,True,True,天使给牧羊人报了什么消息？,救主已经降生,罗马人离开了,饥荒将至,新王加冕了
