chapter,method,source_words,error_count,weighted_penalty,penalty_per_1000_words,mqm_quality_0_1,source_file,translation_file,accuracy_addition_count,accuracy_addition_penalty,accuracy_mistranslation_count,accuracy_mistranslation_penalty,accuracy_omission_count,accuracy_omission_penalty,fluency_grammar_count,fluency_grammar_penalty,other_count,other_penalty,terminology_count,terminology_penalty,untranslated_non_translation_count,untranslated_non_translation_penalty,critical_count,major_count,minor_count
1,google_word_by_word,1721,39,135,78.44276583381756,0.01258767855706146,evaluation/outputs/luke1/1.7b/google_word_by_word/passage_source_decanonicalized.txt,evaluation/outputs/luke1/1.7b/google_word_by_word/passage_target.txt,0,0,4,20,2,10,31,99,0,0,2,6,0,0,0,24,15
1,helsinki,1571,46,142,90.38828771483132,0.010942321220859365,evaluation/outputs/luke1/1.7b/helsinki/passage_source_decanonicalized.txt,evaluation/outputs/luke1/1.7b/helsinki/passage_target.txt,0,0,23,99,7,23,7,7,1,1,8,12,0,0,1,18,27
1,llm_prompt_high,1721,17,65,37.768739105171406,0.02579397790800498,evaluation/outputs/luke1/1.7b/llm_prompt_high/passage_source_decanonicalized.txt,evaluation/outputs/luke1/1.7b/llm_prompt_high/passage_target.txt,0,0,11,43,6,22,0,0,0,0,0,0,0,0,0,12,5
1,llm_prompt_low,1721,16,48,27.890761185357352,0.034613141328613664,evaluation/outputs/luke1/1.7b/llm_prompt_low/passage_source_decanonicalized.txt,evaluation/outputs/luke1/1.7b/llm_prompt_low/passage_target.txt,0,0,8,28,3,15,3,3,0,0,2,2,0,0,0,8,8
1,llm_prompt_medium,1721,15,51,29.633933759442183,0.03264353862787125,evaluation/outputs/luke1/1.7b/llm_prompt_medium/passage_source_decanonicalized.txt,evaluation/outputs/luke1/1.7b/llm_prompt_medium/passage_target.txt,0,0,10,30,4,20,1,1,0,0,0,0,0,0,0,9,6
1,mBART-50,1571,37,105,66.8364099299809,0.014741346144823638,evaluation/outputs/luke1/1.7b/mBART-50/passage_source_decanonicalized.txt,evaluation/outputs/luke1/1.7b/mBART-50/passage_target.txt,0,0,16,60,11,31,6,6,0,0,3,3,1,5,0,17,20
1,nllb-200-1.3B,1571,20,48,30.553787396562697,0.031691916644812496,evaluation/outputs/luke1/1.7b/nllb-200-1.3B/passage_source_decanonicalized.txt,evaluation/outputs/luke1/1.7b/nllb-200-1.3B/passage_target.txt,0,0,10,34,1,5,8,8,0,0,1,1,0,0,0,7,13
1,nllb-200-distilled-600M,1571,37,77,49.013367281986,0.01999465451629736,evaluation/outputs/luke1/1.7b/nllb-200-distilled-600M/passage_source_decanonicalized.txt,evaluation/outputs/luke1/1.7b/nllb-200-distilled-600M/passage_target.txt,0,0,16,28,10,34,11,15,0,0,0,0,0,0,0,10,27
2,google_word_by_word,1218,25,113,92.77504105090311,0.010663818312350068,evaluation/outputs/luke2/1.7b/google_word_by_word/passage_source_decanonicalized.txt,evaluation/outputs/luke2/1.7b/google_word_by_word/passage_target.txt,0,0,3,15,0,0,14,66,6,30,2,2,0,0,0,22,3
2,helsinki,1109,34,162,146.0775473399459,0.006799134321220778,evaluation/outputs/luke2/1.7b/helsinki/passage_source_decanonicalized.txt,evaluation/outputs/luke2/1.7b/helsinki/passage_target.txt,0,0,25,125,4,32,5,5,0,0,0,0,0,0,2,20,12
2,llm_prompt_high,1173,5,33,28.132992327365727,0.03432534457027478,evaluation/outputs/luke2/1.7b/llm_prompt_high/passage_source_decanonicalized.txt,evaluation/outputs/luke2/1.7b/llm_prompt_high/passage_target.txt,1,1,2,2,2,30,0,0,0,0,0,0,0,0,1,1,3
2,llm_prompt_low,1173,15,19,16.19778346121057,0.05814702820601795,evaluation/outputs/luke2/1.7b/llm_prompt_low/passage_source_decanonicalized.txt,evaluation/outputs/luke2/1.7b/llm_prompt_low/passage_target.txt,0,0,2,2,7,11,6,6,0,0,0,0,0,0,0,1,14
2,llm_prompt_medium,1173,5,21,17.902813299232736,0.052902178324989856,evaluation/outputs/luke2/1.7b/llm_prompt_medium/passage_source_decanonicalized.txt,evaluation/outputs/luke2/1.7b/llm_prompt_medium/passage_target.txt,1,5,1,5,3,11,0,0,0,0,0,0,0,0,0,4,1
2,mBART-50,1109,22,86,77.5473399458972,0.012731175883089004,evaluation/outputs/luke2/1.7b/mBART-50/passage_source_decanonicalized.txt,evaluation/outputs/luke2/1.7b/mBART-50/passage_target.txt,0,0,7,31,7,35,2,6,0,0,5,9,1,5,0,16,6
2,nllb-200-1.3B,1109,22,62,55.906221821460775,0.01757277092015402,evaluation/outputs/luke2/1.7b/nllb-200-1.3B/passage_source_decanonicalized.txt,evaluation/outputs/luke2/1.7b/nllb-200-1.3B/passage_target.txt,0,0,12,36,3,15,5,9,0,0,2,2,0,0,0,10,12
2,nllb-200-distilled-600M,1109,18,50,45.08566275924257,0.02169872233853137,evaluation/outputs/luke2/1.7b/nllb-200-distilled-600M/passage_source_decanonicalized.txt,evaluation/outputs/luke2/1.7b/nllb-200-distilled-600M/passage_target.txt,0,0,5,25,5,13,6,10,0,0,2,2,0,0,0,8,10
3,google_word_by_word,913,17,69,75.5750273822563,0.013059087723313262,evaluation/outputs/luke3/1.7b/google_word_by_word/passage_source_decanonicalized.txt,evaluation/outputs/luke3/1.7b/google_word_by_word/passage_target.txt,0,0,4,16,0,0,12,52,0,0,1,1,0,0,0,13,4
3,helsinki,878,17,89,101.36674259681092,0.009768797703553708,evaluation/outputs/luke3/1.7b/helsinki/passage_source_decanonicalized.txt,evaluation/outputs/luke3/1.7b/helsinki/passage_target.txt,0,0,11,55,4,32,1,1,0,0,1,1,0,0,1,12,4
3,llm_prompt_high,913,7,15,16.42935377875137,0.057374473700747816,evaluation/outputs/luke3/1.7b/llm_prompt_high/passage_source_decanonicalized.txt,evaluation/outputs/luke3/1.7b/llm_prompt_high/passage_target.txt,0,0,2,10,4,4,0,0,0,0,1,1,0,0,0,2,5
3,llm_prompt_low,913,2,2,2.190580503833516,0.31342258839684173,evaluation/outputs/luke3/1.7b/llm_prompt_low/passage_source_decanonicalized.txt,evaluation/outputs/luke3/1.7b/llm_prompt_low/passage_target.txt,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2
3,llm_prompt_medium,913,6,18,19.715224534501644,0.04827367419235446,evaluation/outputs/luke3/1.7b/llm_prompt_medium/passage_source_decanonicalized.txt,evaluation/outputs/luke3/1.7b/llm_prompt_medium/passage_target.txt,0,0,4,16,0,0,2,2,0,0,0,0,0,0,0,3,3
3,mBART-50,878,12,56,63.781321184510254,0.015436548401842538,evaluation/outputs/luke3/1.7b/mBART-50/passage_source_decanonicalized.txt,evaluation/outputs/luke3/1.7b/mBART-50/passage_target.txt,0,0,3,31,7,23,1,1,0,0,1,1,0,0,1,5,6
3,nllb-200-1.3B,878,12,72,82.00455580865604,0.012047531490984933,evaluation/outputs/luke3/1.7b/nllb-200-1.3B/passage_source_decanonicalized.txt,evaluation/outputs/luke3/1.7b/nllb-200-1.3B/passage_target.txt,0,0,9,45,1,25,2,2,0,0,0,0,0,0,1,9,2
3,nllb-200-distilled-600M,878,14,82,93.39407744874715,0.010593884987572093,evaluation/outputs/luke3/1.7b/nllb-200-distilled-600M/passage_source_decanonicalized.txt,evaluation/outputs/luke3/1.7b/nllb-200-distilled-600M/passage_target.txt,0,0,8,40,3,11,3,31,0,0,0,0,0,0,1,11,2
4,google_word_by_word,1049,26,130,123.92755004766444,0.00800463948599379,evaluation/outputs/luke4/1.7b/google_word_by_word/passage_source_decanonicalized.txt,evaluation/outputs/luke4/1.7b/google_word_by_word/passage_target.txt,0,0,4,20,3,15,19,95,0,0,0,0,0,0,0,26,0
4,helsinki,1003,26,146,145.56331006979062,0.00682299000700666,evaluation/outputs/luke4/1.7b/helsinki/passage_source_decanonicalized.txt,evaluation/outputs/luke4/1.7b/helsinki/passage_target.txt,0,0,17,121,4,20,5,5,0,0,0,0,0,0,2,18,6
