chapter,id,reference,correct,prior_answerability,open_book_choice,open_book_correct,dynamic_range,real_clean_correct,dead_weight,question,opt_A,opt_B,opt_C,opt_D,closed_guesses
1,uw-174342-mcq,1:68,D,1.00,D,1,0.0,True,True,至高者完成了什么使珂温称赞？,他赦免了百姓一切的罪,他为百姓建造了新圣殿,他赐给百姓丰收与太平,他眷顾并救赎了自己的百姓,DDDDD
2,uw-174355-mcq,2:26,B,1.00,B,1,0.0,True,True,圣灵向韦斯显明了什么？,他必得享长寿,他未死之前必见到救主,他必成为先知,他必得医病恩赐,BBBBB
1,uw-174325-mcq,1:16,C,0.80,A,0,-0.8,True,True,米珥将为泰隆做什么？,带领百姓脱离外邦压迫,教导百姓耕种与建造,使许多百姓归回上帝,为百姓建立一座新殿,BCCCC
1,uw-174326-mcq,1:17,D,0.80,D,1,0.19999999999999996,True,True,米珥的行为将预备什么人？,一群预备好听从先知的人,一群等候弥赛亚降临的人,一群盼望国度复兴的人,一群预备好归顺上帝的人,DDDBD
1,uw-174316-mcq,1:4,A,0.80,A,1,0.19999999999999996,True,True,隆里为什么写他的记述？,好让读者确信所学的是真实的,好劝勉众人慷慨捐助圣工,好驳斥反对者的种种谬误,好使后世记念先祖的传统,BAAAA
1,uw-174336-mcq,1:42,D,0.60,A,0,-0.6,False,False,哈丽说谁是有福的？,珂温和哈丽这对夫妇,未婚夫米恒和芮茉,前来报信的天使维萨,芮茉和她腹中的孩子,ADDDA
1,uw-174340-mcq,1:64,B,0.60,D,0,-0.6,True,False,珂温写完名字后发生了什么？,他一言不发再次变哑,他立刻开口说话称颂上帝,他当场昏倒在地上,他起身默默离开圣殿,ABBBA
2,uw-174354-mcq,2:22,A,0.60,D,0,-0.6,True,False,米恒和芮茉为什么带玛伦去庙？,为要把他献给上帝,为躲避君王的追杀,为庆祝逾越节的节期,为求见义人韦斯,BCAAA
5,uw-174412-mcq,5:37,B,0.60,D,0,-0.6,True,False,如果新酒装入旧皮袋会发生什么？,酒会变成酸醋,会把皮袋撑破,酒会渐渐蒸发,酒会更加香醇,BBCBD
1,uw-174317-mcq,1:6,B,0.60,B,1,0.4,True,False,珂温和哈丽为什么被认为是义人？,他们向穷人变卖广施钱财,他们遵行了神所吩咐的一切,他们天天在殿里禁食祷告,他们献上丰盛祭物来赎罪,DBBBA
1,uw-174328-mcq,1:20,A,0.60,A,1,0.4,True,False,珂温因不信遭遇了什么？,他必闭口不言直到应许成就,他被逐出圣殿不得供职,他的双眼要暂时失明,他被雷电击打而倒地,DAABA
1,uw-174329-mcq,1:27,B,0.60,B,1,0.4,True,False,六个月后维萨拜访了谁？,一位年老守寡的先知妇人,一位名叫芮茉的年轻童女,一位祭司家中的妻子,一位城里富有的寡妇,BDBAB
1,uw-174332-mcq,1:35,A,0.60,A,1,0.4,False,False,芮茉如何以童贞女身份受孕？,至尊者的圣灵要临到她,至高者差天使赐她能力,她凭着信心祈求就成孕,她的未婚夫米恒先娶她,AACAC
1,uw-174344-mcq,1:80,B,0.60,B,1,0.4,True,False,米珥在哪里长大和生活？,在圣殿中受祭司教导,在荒凉的旷野旷地中,在泰洛村自己的家中,在维珥顿城的宫里,CBCBB
2,uw-174350-mcq,2:11,B,0.60,B,1,0.4,True,False,天使给牧羊人报了什么消息？,从此芮谷的国就要复兴,今天有一位救主为你们降生,至高者要审判这个世代,所立的弥赛亚将要受苦,BABAB
2,uw-174352-mcq,2:16,D,0.60,D,1,0.4,True,False,牧羊人在亚斯林找到了谁？,一群祭司和文士,开客店的老板,远方来的博士,芮茉、米恒和那个婴孩,DADDA
2,uw-174357-mcq,2:35,C,0.60,C,1,0.4,True,False,韦斯说芮茉将会经历什么？,她将周游远方各地,她将成为一国王后,她的心要如被利刃刺透,她将子孙满堂,C?ACC
3,uw-174367-mcq,3:8,A,0.60,A,1,0.4,True,False,米珥告诉人们要产生什么？,显出真心悔悟的好行为,敬拜时所需的祭物供品,供养圣殿的钱财奉献,承受祖先应许的凭据,ABAAD
4,uw-174394-mcq,4:30,B,0.60,B,1,0.4,True,False,玛伦 如何避免被人群杀害？,他忽然腾空飞上了天,他从人群当中径直走出去,他呼求天使前来搭救,他躲进了山洞里,BBABC
5,uw-174401-mcq,5:5,A,0.60,A,1,0.4,True,False,芮昂尽管一无所获，却放下了什么？,放下渔网,放下船锚,放下船帆,放下缆绳,AABAC
5,uw-174408-mcq,5:24,C,0.60,C,1,0.4,True,False,主医治瘫痪的人显示了什么权柄？,统领军队的权柄,命令风浪的权柄,赦免人罪的权柄,讲解律法的权柄,ABCCC
5,uw-174409-mcq,5:32,D,0.60,D,1,0.4,True,False,主说他的目的是什么？,教导法利赛人律法,领导百姓起义反抗,建造一座新圣殿,呼召罪人悔改归正,DDABD
6,uw-174422-mcq,6:27,B,0.60,B,1,0.4,True,False,门徒应如何对待他们的敌人？,忽视并远远躲避,爱他们并善待他们,论断并加以谴责,争斗并奋力抵抗,BDBBD
7,uw-174430-mcq,7:6,D,0.60,D,1,0.4,True,False,百夫长为什么派朋友去见玛伦而不亲自去？,他忙于管理手下士兵,他想借此试探玛伦,他心里惧怕玛伦,他自觉不配劳动玛伦前来,CDDCD
7,uw-174441-mcq,7:47,B,0.60,B,1,0.4,True,False,玛伦说妇人为什么爱得多？,她想引起众人的注意,她许多的罪都蒙了赦免,她原是玛伦的亲戚,她非常富有又慷慨,BBDDB
8,uw-174449-mcq,8:21,A,0.60,A,1,0.4,True,False,玛伦说谁是他的母亲和弟兄？,凡听了神的话又去遵行的人,与他有血缘关系的亲人,身体上一路跟随他的人,他所拣选的十二个门徒,DAAAD
1,uw-174323-mcq,1:12,A,0.40,D,0,-0.4,True,False,珂温对天使的反应如何？,他吓得战兢又害怕,他立刻俯伏下拜,他满心欢喜快乐,他惊讶得说不出话,AADBC
1,uw-174341-mcq,1:66,C,0.40,A,0,-0.4,True,False,每个人都意识到了孩子的什么？,这孩子长得很像他父亲,这孩子将来必成为君王,上帝的手一直看顾这孩子,这孩子生来体格就强壮,CCBBA
3,uw-174366-mcq,3:4,D,0.40,B,0,-0.4,True,False,米珥为谁预备道路？,为登基的君王预备道路,为应许的先知预备道路,为归回的百姓预备道路,为上帝的来临预备道路,BBDDB
4,uw-174382-mcq,4:7,C,0.40,B,0,-0.4,False,False,魔君 希望玛伦 做什么？,从殿顶上跳下,把石头变食物,向他跪拜敬奉,行一件大神迹,ACDCA
4,uw-174384-mcq,4:9,D,0.40,B,0,-0.4,True,False,魔君 告诉玛伦 在 庙 做什么？,在那里祷告,在那里传道,向魔君下拜,从殿顶纵身跳下,DCDCA
4,uw-174388-mcq,4:21,D,0.40,A,0,-0.4,False,False,玛伦 说那天实现了什么？,珈伦的预言,芮谷的诗篇,摩西的律法,索达先知的话,DDAAA
7,uw-174432-mcq,7:9,B,0.40,D,0,-0.4,True,False,玛伦怎样评价百夫长的信心？,他的信心虽有却仍嫌不足,连泰隆中也未见这样的信心,他的信心与常人并无差别,信心固然可嘉却算不上最大,BBDAA
8,uw-174446-mcq,8:13,B,0.40,D,0,-0.4,True,False,磐石地上的种子代表谁？,听了道，随后被魔鬼夺去而不信,听了道，欢喜领受却在试炼中跌倒,听了道，被今生的思虑挤住,听了道，持守到底并结出果实,DBBCD
8,uw-174454-mcq,8:48,C,0.40,B,0,-0.4,True,False,是什么医治了流血的妇人？,周围众人的信心,玛伦所说的话语,她对玛伦所存的信心,她摸了玛伦的衣角,CDBCB
1,uw-174335-mcq,1:41,C,0.40,C,1,0.6,True,False,当芮茉问候哈丽时，哈丽的孩子做了什么？,忽然安静下来不动,使哈丽感到疼痛,在母亲腹中欢喜雀跃,让哈丽昏了过去,CBBCA
2,uw-174359-mcq,2:40,D,0.40,D,1,0.6,True,False,玛伦回到泰洛村后发生了什么？,他被父母带往埃及,他开始行各样神迹,他成为一位教师,他日渐长大健壮有智慧,AAADD
3,uw-174368-mcq,3:9,B,0.40,B,1,0.6,True,False,无好果子的树会发生什么？,被人移栽到别处,被人伐倒扔进火里,被留待来年再结果,被修剪后重新栽种,BCCCB
4,uw-174378-mcq,4:2,C,0.40,C,1,0.6,True,False,魔君 试探玛伦多久？,三十天,十四天,四十天,七天,BA?CC
4,uw-174379-mcq,4:3,D,0.40,D,1,0.6,True,False,魔君 挑战玛伦把石头变成什么？,变成黄金,变成清水,变成美酒,变成食物,BADDA
4,uw-174398-mcq,4:41,B,0.40,B,1,0.6,False,False,恶魔被驱逐时说什么？,玛伦是一位教师,玛伦是神的儿子,玛伦是一位先知,玛伦是万民君王,DBCBC
5,uw-174404-mcq,5:10,D,0.40,D,1,0.6,False,False,主说亚磐将来会做什么？,捕到更多的鱼,建造更大的船,教导众多孩童,要得人如得鱼,CCDDA
5,uw-174407-mcq,5:21,B,0.40,B,1,0.6,True,False,为什么文士认为主的话是亵渎？,因为他与罪人来往交谈,因为唯有上帝才能赦免人罪,因为他在安息日治病,因为他自称是君王,DBBAD
6,uw-174423-mcq,6:35,C,0.40,C,1,0.6,True,False,至高者的态度是什么？,公义而又严明,遥远而难亲近,满有恩慈与怜悯,赏罚分明报应,DDCCA
8,uw-174448-mcq,8:15,D,0.40,D,1,0.6,True,False,好土上的种子代表谁？,听了道，随后被魔鬼夺去而不信,听了道，欢喜领受却在试炼中跌倒,听了道，被今生的思虑所挤住,听了道，牢牢持守并结出果实,DDCBC
2,uw-174346-mcq,2:4,C,0.20,B,0,-0.2,True,False,米恒为什么去亚斯林？,去那里寻找工作,去探望家中的亲戚,去应人口普查的登记,去躲避危险,ADBCA
2,uw-174349-mcq,2:9,A,0.20,D,0,-0.2,True,False,牧羊人如何回应天使？,他们感到十分惊恐,他们勃然大怒,他们漠不关心,他们欢喜雀跃,BDBAC
2,uw-174362-mcq,2:49,B,0.20,A,0,-0.2,True,False,玛伦对芮茉说了什么关于寻找他的事？,我一直和朋友们在一起,我理当在我父的家中,我在这里敬拜至高者,我一不小心走失了,ACBCC
3,uw-174370-mcq,3:16,C,0.20,A,0,-0.2,True,False,米珥说有人会用什么施洗？,圣灵与活水,烈火与灰烬,圣灵与烈火,清水与香膏,CADBA
4,uw-174387-mcq,4:17,A,0.20,C,0,-0.2,True,False,玛伦 在 会堂 里读哪卷书？,先知索达的书卷,君王芮谷的诗篇,先知珈伦的书卷,摩西的律法书,CACDC
4,uw-174389-mcq,4:24,C,0.20,B,0,-0.2,False,False,先知在本国受到什么样的接待？,先知只被本乡的人所接纳,先知起初受欢迎后被厌弃,先知在自己家乡总是不受敬重,先知唯独在自己家乡受尊崇,BBADC
4,uw-174393-mcq,4:29,A,0.20,D,0,-0.2,True,False,人们如何试图杀死玛伦？,把他从悬崖上推下去,用乱石把他砸死,把他钉在十字架上,把他投进河里淹死,CACCD
5,uw-174403-mcq,5:8,C,0.20,D,0,-0.2,True,False,大量捕鱼后，亚磐叫主做什么？,再教导他更多道理,祝福这一网的鱼,离开他这个罪人,留下来与他同住,CADBB
5,uw-174410-mcq,5:35,A,0.20,B,0,-0.2,True,False,主说他的门徒什么时候禁食？,等新郎离开他们以后,当他们感到饥饿时,在筵席开始之前,在每一个安息日,BDACB
5,uw-174403-mcq,5:8,C,0.20,B,0,-0.2,True,False,大量捕鱼后亚磐祈祷主做什么？,再教导他更多道理,祝福这一网的鱼,离开他这个罪人,留下来与他同住,BBDAC
6,uw-174414-mcq,6:1,C,0.20,A,0,-0.2,True,False,玛伦的门徒在安息日摘取什么？,摘取园中葡萄,采摘树上无花果,掐取田里的麦子,拾取地上橄榄,BAACA
6,uw-174421-mcq,6:23,A,0.20,C,0,-0.2,True,False,根据玛伦，为什么人们应该喜乐？,因为天上有大赏赐,因为地上必得太平,因为必要胜过仇敌,因为必得丰足财富,?BABB
6,uw-174428-mcq,6:49,B,0.20,C,0,-0.2,True,False,谁像是无根基建房的人？,选用坚固材料建造的人,听了我的话却不去行的人,遵照指示仔细建造的人,把房子建在沙土上的人,BDDDD
7,uw-174429-mcq,7:3,C,0.20,B,0,-0.2,True,False,百夫长最初祈祷玛伦做什么？,喂饱饥饿众人,到会堂里教导,来医治他的仆人,平息一场风暴,ABBCA
