experiment,variant,status,chapters_scored,chapter_count,missing_count,actual_rate_mean,combined_score,mcq_accuracy,open_llm_score_mean,answer_confidence_mean,insufficient_information_rate,evidence_supported_rate,generation_errors,total_items
addition,0%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7843137254901961,0.8823529411764706,0.6862745098039216,0.855329913142413,0.05596660284160284,0.9654416763791764,0,204
addition,neutral_5%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7598039215686274,0.9019607843137255,0.6176470588235294,0.8346943854756355,0.07096028971028971,0.9415194180819181,1,204
addition,bad_5%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7916666666666666,0.8823529411764706,0.7009803921568627,0.8457709824897324,0.04947829947829948,0.9621272824397824,0,204
addition,adversarial_5%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7573529411764706,0.8627450980392157,0.6519607843137255,0.8596706245143744,0.05184572372072372,0.960633984071484,0,204
addition,neutral_10%,complete,"1,2,3,4,5,6,7,8",8,0,,0.8088235294117647,0.9117647058823529,0.7058823529411765,0.8133054445554445,0.08860757298257298,0.9475403069153069,0,204
addition,bad_10%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7818627450980392,0.8823529411764706,0.6813725490196079,0.8500785672660672,0.0446532634032634,0.9610285547785548,1,204
addition,adversarial_10%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7475490196078431,0.8333333333333334,0.6617647058823529,0.8504249222999222,0.06241501554001554,0.9669410450660451,0,204
addition,neutral_15%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7990196078431373,0.9117647058823529,0.6862745098039216,0.8307249174436674,0.0927284521034521,0.9477709790209791,0,204
addition,bad_15%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7696078431372549,0.8823529411764706,0.6568627450980392,0.8488043206793207,0.042043026418026416,0.9583576146076146,0,204
addition,adversarial_15%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7475490196078431,0.8431372549019608,0.6519607843137255,0.8497900536963037,0.0631191724941725,0.9523479992229992,0,204
addition,neutral_20%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7867647058823529,0.8823529411764706,0.6911764705882353,0.8212973658286158,0.08332639582639582,0.9316672910422911,1,204
addition,bad_20%,complete,"1,2,3,4,5,6,7,8",8,0,,0.8014705882352942,0.9019607843137255,0.7009803921568627,0.8389685834998335,0.051124222999223,0.9586611305361306,0,204
addition,adversarial_20%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7034313725490197,0.7941176470588235,0.6127450980392157,0.8226259851259852,0.09160110722610723,0.930810508935509,0,204
addition,neutral_30%,complete,"1,2,3,4,5,6,7,8",8,0,,0.75,0.8823529411764706,0.6176470588235294,0.8252564276001776,0.0842005217005217,0.9380411255411255,1,204
addition,bad_30%,complete,"1,2,3,4,5,6,7,8",8,0,,0.75,0.8725490196078431,0.6274509803921569,0.8385230221167721,0.05601689976689977,0.962995337995338,0,204
addition,adversarial_30%,complete,"1,2,3,4,5,6,7,8",8,0,,0.696078431372549,0.7549019607843137,0.6372549019607843,0.8346524135586635,0.08268380924630925,0.9486451048951049,0,204
omission,0%,complete,"1,2,3,4,5,6,7,8",8,0,,0.8235294117647058,0.9019607843137255,0.7450980392156863,,,,2,204
omission,5%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7843137254901961,0.8921568627450981,0.6764705882352942,,,,1,204
omission,10%,complete,"1,2,3,4,5,6,7,8",8,0,,0.8161764705882353,0.9117647058823529,0.7205882352941176,,,,1,204
omission,15%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7205882352941176,0.8725490196078431,0.5686274509803921,,,,2,204
omission,20%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7083333333333334,0.8529411764705882,0.5637254901960784,,,,2,204
