chapter,kind,method,level,verse,cometkiwi,src,mt
1,method,google_word_by_word,,1,0.465296,"Many have undertaken to draw up an account of the things that have been fulfilled among us,",许多 有 进行 到 画 向上 一个 帐户 的 这 事物 那 有 到过 已满足 之中 我们，
1,method,google_word_by_word,,2,0.360657,just as they were handed down to us by those who from the first were eyewitnesses and servants of the word.,只是 作为 他们 是 递给 向下 到 我们 经过 那些 WHO 从 这 第一的 是 目击者 和 __LOCAL_ROLE_02__ 的 这 单词。
1,method,google_word_by_word,,3,0.485262,"With this in mind, since I myself have carefully investigated everything from the beginning, I too decided to write an orderly account for you, most excellent Theophilus,","和 这 在 头脑， 自从 我 我 有 小心 调查过 一切 从 这 开始， 我 也 决定 到 写 一个 秩序 帐户 为了 你， 最多 出色的 __RECIPIENT_A__,"
1,method,google_word_by_word,,4,0.407115,"so that you may know the certainty of the things you have been taught.

The Birth of John the Baptist Foretold","所以 那 你 可能 知道 这 肯定 的 这 事物 你 有 到过 教过。

这 出生 的 __PERSON_C__ 这 浸信会 预言的"
1,method,google_word_by_word,,5,0.368426,"In the time of Herod king of Judea there was a priest named Zechariah, who belonged to the priestly division of Abijah; his wife Elizabeth was also a descendant of Aaron.","在 这 时间 的 __RULER_A__ 国王 的 __LOCAL_PLACE_01__ 那里 曾是 一个 __WORKER_A__ 命名的 __PERSON_A__, WHO 属于 到 这 祭司般的 分配 的 __DIVISION_A__; 他的 妻子 __PERSON_B__ 曾是 还 一个 后裔 的 __FOREFATHER_B__."
1,method,google_word_by_word,,6,0.449246,"Both of them were righteous in the sight of God, observing all the Lord’s commands and decrees blamelessly.","两个都 的 他们 是 正义 在 这 视线 的 __MOST_HIGH_A__, 观察 全部 这 __MASTER_A__ 命令 和 法令 无可指责。"
1,method,google_word_by_word,,7,0.470394,"But they were childless because Elizabeth was not able to conceive, and they were both very old.",但 他们 是 无子女的 因为 __PERSON_B__ 曾是 不是 有能力的 到 构想， 和 他们 是 两个都 非常 老的。
1,method,google_word_by_word,,8,0.316301,"Once when Zechariah’s division was on duty and he was serving as priest before God,","一次 什么时候 __PERSON_A__ 分配 曾是 在 责任 和 他 曾是 服务 作为 __WORKER_A__ 前 __MOST_HIGH_A__,"
1,method,google_word_by_word,,9,0.336111,"he was chosen by lot, according to the custom of the priesthood, to go into the temple of the Lord and burn incense.",他 曾是 选择的 经过 很多， 根据 到 这 风俗 的 这 神职人员， 到 去 进入 这 __PLACE_A__ 的 这 __MASTER_A__ 和 烧伤 __MATERIAL_A__.
1,method,google_word_by_word,,10,0.355717,"And when the time for the burning of incense came, all the assembled worshipers were praying outside.",和 什么时候 这 时间 为了 这 燃烧 的 __MATERIAL_A__ 来了， 全部 这 组装的 崇拜者 是 __REQUEST_A__ 外部。
1,method,google_word_by_word,,11,0.325277,"Then an angel of the Lord appeared to him, standing at the right side of the altar of incense.",然后 一个 天使 的 这 __MASTER_A__ 出现了 到 他， 常设 在 这 正确的 边 的 这 __LOCAL_OBJECT_01__.
1,method,google_word_by_word,,12,0.327981,"When Zechariah saw him, he was startled and was gripped with fear.",什么时候 __PERSON_A__ 锯 他， 他 曾是 受惊 和 曾是 抓住 和 害怕。
1,method,google_word_by_word,,13,0.418834,"But the angel said to him: “Do not be afraid, Zechariah; your prayer has been heard. Your wife Elizabeth will bear you a son, and you are to call him John.",但 这 天使 说 到 他： “做 不是 是 害怕的， __PERSON_A__; 你的 __REQUEST_A__ 有 到过 听到。 你的 妻子 __PERSON_B__ 将要 熊 你 一个 儿子， 和 你 是 到 称呼 他 __PERSON_C__.
1,method,google_word_by_word,,14,0.552453,"He will be a joy and delight to you, and many will rejoice because of his birth,",他 将要 是 一个 喜悦 和 喜 到 你， 和 许多 将要 麾 因为 的 他的 出生，
