chapter,item_id,item_index,q_type,reference,question,standard_answer,method,model,generated_answer,score
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,google_word_by_word,llama1b,They were merely handed down these words from the first eyewitnesses and servants.,0.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,google_word_by_word,qwen1.5b,"For you, Recipient A.",0.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,google_word_by_word,qwen1.7b,"Text A wrote the record to document and share the people or events he taught, establishing an account of order as an excellent receiver.",0.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,mBART-50,llama1b,"They passed it to us from predecessors, eyewitnesses, and servants of tradition.",0.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,mBART-50,qwen1.5b,Because he personally studied everything carefully from the beginning.,0.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,mBART-50,qwen1.7b,Text A wrote the record because he carefully studied everything.,0.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,helsinki,llama1b,He is a servant who testifies and teaches.,0.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,helsinki,qwen1.5b,To let the recipient know the teachings received,0.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,helsinki,qwen1.7b,Text A wrote his record so the recipients would know the teachings they received and obey the master's command.,1.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,nllb-200-distilled-600M,llama1b,The servant of the word passed it to us alike.,0.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,nllb-200-distilled-600M,qwen1.5b,To let the recipient know that what was learned is true.,1.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,nllb-200-distilled-600M,qwen1.7b,Text A wrote the account to prove that what he learned is true.,1.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_low,llama1b,He began to investigate everything carefully.,0.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_low,qwen1.5b,To let the recipient know the certainty of the learning.,1.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_low,qwen1.7b,Text A writes the account to ensure what you have been taught is certain.,1.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_medium,llama1b,"From the beginning, handed down to us by those who were eyewitnesses and servants of the word.",0.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_medium,qwen1.5b,To let Recipient A know that the teachings received are true.,1.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_medium,qwen1.7b,To let the recipient know that the teachings received are true.,1.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,nllb-200-1.3B,llama1b,From the servant who witnessed and told us from the beginning.,0.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,nllb-200-1.3B,qwen1.5b,To prove that the teachings are true.,0.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,nllb-200-1.3B,qwen1.7b,Text A wrote the record to convey to Recipient A that what he taught was true.,1.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_high,llama1b,He carefully examined everything from the beginning.,0.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_high,qwen1.5b,To let Recipient A know the authenticity of the learned matters.,1.0
luke1,uw-174316-open,1,open,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_high,qwen1.7b,Text A was written to confirm the truth of what was learned.,1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,google_word_by_word,llama1b,None (correct B),0.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,google_word_by_word,qwen1.5b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,google_word_by_word,qwen1.7b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,mBART-50,llama1b,None (correct B),0.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,mBART-50,qwen1.5b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,mBART-50,qwen1.7b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,helsinki,llama1b,None (correct B),0.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,helsinki,qwen1.5b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,helsinki,qwen1.7b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,nllb-200-distilled-600M,llama1b,None (correct B),0.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,nllb-200-distilled-600M,qwen1.5b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,nllb-200-distilled-600M,qwen1.7b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_low,llama1b,A (correct B),0.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_low,qwen1.5b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_low,qwen1.7b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_medium,llama1b,None (correct B),0.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_medium,qwen1.5b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_medium,qwen1.7b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,nllb-200-1.3B,llama1b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,nllb-200-1.3B,qwen1.5b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,nllb-200-1.3B,qwen1.7b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_high,llama1b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_high,qwen1.5b,B (correct B),1.0
luke1,uw-174316-mcq,2,mcq,文本甲 1:4,文本甲为什么写他的记述？,To assure Recipient A of certainty.,llm_prompt_high,qwen1.7b,B (correct B),1.0
