method,score_file,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_scored,open_llm_score_mean,open_embedding_scored,open_embedding_mean,llm_correct,llm_partial,llm_incorrect,llm_other,combined_score,answer_confidence_mean,insufficient_information_rate,direct_evidence_rate,evidence_supported_rate,wrong_high_confidence_count,correct_low_confidence_count
luke5/1.7b/grammar/30%,evaluation/outputs/luke5/1.7b/grammar/30%/scores_target_window3_v2.json,22,11,11,1.0,11,11,1.0,0,,0,0,0,0,1.0,,,,,,
luke3/1.5b/omission/10%,evaluation/outputs/luke3/1.5b/omission/10%/scores_target_window3_v2.json,14,7,7,1.0,7,7,1.0,0,,0,0,0,0,1.0,,,,,,
luke3/1.5b/omission/0%,evaluation/outputs/luke3/1.5b/omission/0%/scores_target_window3_v2.json,14,7,7,1.0,7,7,1.0,0,,0,0,0,0,1.0,,,,,,
luke3/1.5b/grammar/30%,evaluation/outputs/luke3/1.5b/grammar/30%/scores_target_window3_v2.json,14,7,7,1.0,7,7,1.0,0,,0,0,0,0,1.0,,,,,,
luke5/1.7b/omission/0%,evaluation/outputs/luke5/1.7b/omission/0%/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.9545454545454546,0,,0,0,0,0,0.9772727272727273,,,,,,
luke2/1.5b/omission/0%,evaluation/outputs/luke2/1.5b/omission/0%/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.9545454545454546,0,,0,0,0,0,0.9772727272727273,,,,,,
luke4/1.7b/omission/0%,evaluation/outputs/luke4/1.7b/omission/0%/scores_target_window3_v2.json,33,17,16,0.9411764705882353,16,16,1.0,0,,0,0,0,0,0.9696969696969697,,,,,,
luke6/1.5b/mistranslation/20%,evaluation/outputs/luke6/1.5b/mistranslation/20%/scores_target_window3_v2.json,16,8,8,1.0,8,8,0.9375,0,,0,0,0,0,0.96875,,,,,,
luke6/1.5b/grammar/30%,evaluation/outputs/luke6/1.5b/grammar/30%/scores_target_window3_v2.json,16,8,8,1.0,8,8,0.9375,0,,0,0,0,0,0.96875,,,,,,
luke4/1.5b/omission/0%,evaluation/outputs/luke4/1.5b/omission/0%/scores_target_window3_v2.json,34,17,17,1.0,17,17,0.9117647058823529,0,,0,0,0,0,0.9558823529411765,,,,,,
luke2/1.5b/omission/10%,evaluation/outputs/luke2/1.5b/omission/10%/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.9090909090909091,0,,0,0,0,0,0.9545454545454546,,,,,,
luke6/llama 1b/omission/0%,evaluation/outputs/luke6/llama 1b/omission/0%/scores_target_window3_v2.json,16,8,8,1.0,8,8,0.875,0,,0,0,0,0,0.9375,,,,,,
luke6/1.7b/omission/0%,evaluation/outputs/luke6/1.7b/omission/0%/scores_target_window3_v2.json,16,8,8,1.0,8,8,0.875,0,,0,0,0,0,0.9375,,,,,,
luke6/1.5b/omission/0%,evaluation/outputs/luke6/1.5b/omission/0%/scores_target_window3_v2.json,16,8,8,1.0,8,8,0.875,0,,0,0,0,0,0.9375,,,,,,
luke5/1.7b/mistranslation/20%,evaluation/outputs/luke5/1.7b/mistranslation/20%/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.8636363636363636,0,,0,0,0,0,0.9318181818181818,,,,,,
luke5/1.5b/omission/0%,evaluation/outputs/luke5/1.5b/omission/0%/scores_target_window3_v2.json,22,11,11,1.0,11,11,0.8636363636363636,0,,0,0,0,0,0.9318181818181818,,,,,,
luke1/1.5b/omission/0%,evaluation/outputs/luke1/1.5b/omission/0%/scores_target_window3_v2.json,44,22,22,1.0,22,22,0.8636363636363636,0,,0,0,0,0,0.9318181818181818,,,,,,
luke1/1.5b/grammar/30%,evaluation/outputs/luke1/1.5b/grammar/30%/scores_target_window3_v2.json,44,22,22,1.0,22,22,0.8636363636363636,0,,0,0,0,0,0.9318181818181818,,,,,,
luke3/1.7b/omission/10%,evaluation/outputs/luke3/1.7b/omission/10%/scores_target_window3_v2.json,14,7,6,0.8571428571428571,7,7,1.0,0,,0,0,0,0,0.9285714285714286,,,,,,
luke3/1.7b/omission/0%,evaluation/outputs/luke3/1.7b/omission/0%/scores_target_window3_v2.json,14,7,6,0.8571428571428571,7,7,1.0,0,,0,0,0,0,0.9285714285714286,,,,,,
luke3/1.7b/grammar/30%,evaluation/outputs/luke3/1.7b/grammar/30%/scores_target_window3_v2.json,14,7,6,0.8571428571428571,7,7,1.0,0,,0,0,0,0,0.9285714285714286,,,,,,
