chapter,id,reference,correct,prior_answerability,open_book_choice,open_book_correct,dynamic_range,real_clean_correct,dead_weight,question,opt_A,opt_B,opt_C,opt_D,closed_guesses
1,uw-174333-mcq,1:35(#2),A,1.00,B,0,-1.0,True,True,圣婴是谁的儿子？,上帝的儿子,祭司珂温的儿子,未婚夫米恒的儿子,先知珈伦的儿子,AAAAA
1,uw-174316-mcq,1:4,B,1.00,B,1,0.0,True,True,隆里为什么写他的记述？,好劝人慷慨捐助圣工,好让读者确信所学的是真的,好驳斥反对者的谬误,好让后世记念先祖的传统,BBBBB
1,uw-174323-mcq,1:12,B,1.00,B,1,0.0,True,True,珂温对天使的反应如何？,他立刻俯伏敬拜,他吓得战兢不安,他满心欢喜快乐,他惊讶得说不出话,BBBBB
1,uw-174322-mcq,1:11,B,1.00,B,1,0.0,True,True,谁在圣殿向珂温显现？,另一班的祭司长,主所差来的天使,一位显现的先知,从至圣所发出的声音,BBBBB
1,uw-174317-mcq,1:6,B,1.00,B,1,0.0,True,True,珂温和哈丽为什么被认为是义人？,他们向穷人广施钱财,他们无可指摘地遵行神所吩咐的一切,他们天天在殿里禁食祷告,他们献上丰盛的祭物赎罪,BBBBB
1,uw-174331-mcq,1:33,A,1.00,A,1,0.0,True,True,这个孩子会做什么？,永永远远作王管理他的子民,重建荒废已久的圣殿,领导百姓起义反抗外邦,成为伟大的律法教师,AAAAA
1,uw-174340-mcq,1:64,C,1.00,C,1,0.0,True,True,珂温写完名字后发生了什么？,他再次变得哑口无言,他昏倒在地,他立刻能开口说话，称颂上帝,他起身离开圣殿,CCCCC
1,uw-174341-mcq,1:66,B,1.00,B,1,0.0,True,True,每个人都意识到了孩子的什么？,这孩子长得很像父亲,上帝一直在看顾扶助这孩子,这孩子将来必成为君王,这孩子生来体格强壮,BBBBB
1,uw-174342-mcq,1:68,A,1.00,A,1,0.0,True,True,至高者完成了什么使珂温称赞？,他眷顾并救赎了自己的百姓,他赦免了百姓一切的罪,他为百姓建造了新圣殿,他赐给百姓丰收与太平,AAAAA
1,uw-174343-mcq,1:77,A,1.00,A,1,0.0,True,True,珂温预言米珥将帮助人们知道什么？,怎样借着罪得赦免而得救,怎样建造合神心意的圣殿,怎样战胜欺压他们的仇敌,怎样积攒地上的财富,AAAAA
2,uw-174350-mcq,2:11,A,1.00,A,1,0.0,True,True,天使给牧羊人报了什么消息？,今天有一位救主为你们降生了,芮谷的国就要复兴,至高者要审判这世代,所立的弥赛亚将要受苦,AAAAA
2,uw-174355-mcq,2:26,C,1.00,C,1,0.0,True,True,圣灵向韦斯显明了什么？,他必得享长寿,他必成为一位先知,他离世以前必见到神所立的救主,他必领受医病的恩赐,CCCCC
2,uw-174357-mcq,2:35,C,1.00,C,1,0.0,True,True,韦斯说芮茉将会经历什么？,她将周游远方各地,她将成为一国王后,她的心要如被利刃刺透,她将儿孙满堂,CCCCC
2,uw-174359-mcq,2:40,B,1.00,B,1,0.0,True,True,玛伦回到泰洛村后发生了什么？,他被带往埃及,他日渐长大，健壮而有智慧,他开始行各样神迹,他成为一位教师,BBBBB
3,uw-174366-mcq,3:4,B,1.00,B,1,0.0,True,True,米珥为谁预备道路？,为将要登基的君王预备道路,为上帝来临预备道路,为应许的先知预备道路,为归回的百姓预备道路,BBBBB
3,uw-174367-mcq,3:8,B,1.00,B,1,0.0,True,True,米珥告诉人们要产生什么？,敬拜所需的祭物与供品,显出真心悔悟的好行为,供养圣殿的钱财奉献,承受祖先应许的凭据,BBBBB
3,uw-174368-mcq,3:9,C,1.00,C,1,0.0,True,True,无好果子的树会发生什么？,被移栽到别处,被留待来年再结果,被伐倒焚烧,被修剪后重新栽种,CCCCC
3,uw-174370-mcq,3:16,B,1.00,B,1,0.0,True,True,米珥说有人会用什么施洗？,圣灵与活水,圣灵与烈火,烈火与灰烬,清水与香膏,BBBBB
3,uw-174374-mcq,3:22,B,1.00,B,1,0.0,True,True,玛伦受洗后谁从天降下？,圣灵，如火焰临到,圣灵，形状像鸽子,一位天使，从云中显现,一道光，照亮四周,BBBBB
4,uw-174378-mcq,4:2,B,1.00,B,1,0.0,True,True,魔君 试探玛伦多久？,三十天,四十天,七天,三天,BBBBB
4,uw-174380-mcq,4:4,B,1.00,B,1,0.0,True,True,玛伦 说人不能单靠什么活着？,单靠美酒,单靠吃食,单靠鱼肉,单靠饮水,BBBBB
4,uw-174382-mcq,4:7,B,1.00,B,1,0.0,False,True,魔君 希望玛伦 做什么？,从圣殿顶上跳下,向他跪拜敬奉,把石头变成食物,行一件大神迹,BBBBB
4,uw-174396-mcq,4:36,D,1.00,D,1,0.0,True,True,玛伦 赶鬼之后人们有什么反应？,大惑不解,心生愤怒,无动于衷,无不称奇,DDDDD
4,uw-174396-mcq,4:36,D,1.00,D,1,0.0,True,True,玛伦 赶鬼之后人们有什么反应？,大惑不解,心生愤怒,无动于衷,无不称奇,DDDDD
4,uw-174397-mcq,4:40,D,1.00,D,1,0.0,True,True,玛伦 为病人做什么？,他送他们去看医生,他给他们服药,他为他们献上祷告,他为他们按手，使他们痊愈,DDDDD
4,uw-174399-mcq,4:43,D,1.00,D,1,0.0,True,True,玛伦 为什么被差遣？,为要行各样神迹,为要建造殿宇,为要招聚门徒,为要传扬神国的好消息,DDDDD
4,uw-174396-mcq,4:36,D,1.00,D,1,0.0,True,True,玛伦 驱魔后人们有何反应？,大惑不解,心生愤怒,无动于衷,无不称奇,DDDDD
5,uw-174401-mcq,5:5,C,1.00,C,1,0.0,True,True,芮昂尽管一无所获，却放下了什么？,放下船锚,放下船帆,放下渔网,放下缆绳,CCCCC
5,uw-174402-mcq,5:6,D,1.00,D,1,0.0,True,True,放下网时，网开始发生什么？,缠成一团,一条鱼也没网住,被水冲走了,渐渐被撑破,DDDDD
5,uw-174403-mcq,5:8,B,1.00,B,1,0.0,True,True,大量捕鱼后，亚磐叫主做什么？,教导他更多的道理,离开他这个罪人,祝福这一网的鱼,留下与他同住,BBBBB
5,uw-174404-mcq,5:10,D,1.00,D,1,0.0,False,True,主说亚磐将来会做什么？,捕到更多的鱼,建造更大的船,教导孩童,得人如得鱼,DDDDD
5,uw-174408-mcq,5:24,D,1.00,D,1,0.0,True,True,主医治瘫痪的人显示了什么权柄？,统领军队的权柄,命令风浪的权柄,讲解律法的权柄,赦免人罪的权柄,DDDDD
5,uw-174409-mcq,5:32,B,1.00,B,1,0.0,True,True,主说他的目的是什么？,教导法利赛人律法,呼召罪人悔改归正,领导百姓起义反抗,建造一座新圣殿,BBBBB
5,uw-174412-mcq,5:37,C,1.00,C,1,0.0,True,True,如果新酒装入旧皮袋会发生什么？,酒会变成酸醋,酒会渐渐蒸发,会把皮袋撑破,酒会更加香醇,CCCCC
6,uw-174414-mcq,6:1,C,1.00,C,1,0.0,True,True,玛伦的门徒在安息日摘取什么？,摘取葡萄,采摘无花果,掐取田里的麦子,拾取橄榄,CCCCC
6,uw-174421-mcq,6:23,A,1.00,A,1,0.0,True,True,根据玛伦，为什么人们应该喜乐？,因为天上有大赏赐,因为地上必得太平,因为必胜过仇敌,因为必得丰足财富,AAAAA
6,uw-174422-mcq,6:27,C,1.00,C,1,0.0,True,True,门徒应如何对待他们的敌人？,忽视并远远躲避,论断并加以谴责,爱他们并善待他们,争斗并奋力抵抗,CCCCC
6,uw-174423-mcq,6:35,B,1.00,B,1,0.0,True,True,至高者的态度是什么？,公义而严明,满有恩慈与怜悯,遥远而难以亲近,按功行赏、赏罚分明,BBBBB
7,uw-174440-mcq,7:38,D,1.00,D,1,0.0,True,True,在法利赛人家中，城里那个妇人对玛伦做了什么？,俯伏在他脚前祷告,献上一份贵重的礼物,为他洗手奉茶,用眼泪湿他的脚、以发擦干、连连亲吻、又抹上香膏,DDDDD
