defect,base_defect,model,theta,beta_z,se_beta_z,beta_per_dose,q_sd_raw,n_items,n_rows
addition:adversarial,addition,1.5b,0.6571040896698267,0.1329,0.0648,1.3477,0.0986,192,1152
addition:adversarial,addition,1.7b,1.1342968990107858,0.2272,0.0671,2.3042,0.0986,204,1224
addition:adversarial,addition,llama 1b,-0.34423207181314086,0.0778,0.0595,0.789,0.0986,192,1152
addition:bad,addition,1.5b,0.6571040896698267,0.0682,0.067,0.6912,0.0986,192,1152
addition:bad,addition,1.7b,1.1342968990107858,0.0841,0.0714,0.8528,0.0986,204,1224
addition:bad,addition,llama 1b,-0.34423207181314086,-0.0186,0.06,-0.1883,0.0986,192,1152
addition:neutral,addition,1.5b,0.6571040896698267,0.0032,0.0688,0.0325,0.0986,192,1152
addition:neutral,addition,1.7b,1.1342968990107858,0.0509,0.0732,0.5166,0.0986,204,1224
addition:neutral,addition,llama 1b,-0.34423207181314086,0.034,0.0602,0.3446,0.0986,192,1152
awkward,awkward,1.5b,0.6571040896698267,0.0312,0.0674,0.3163,0.0986,192,1152
awkward,awkward,1.7b,1.1342968990107858,0.064,0.0718,0.6489,0.0986,204,1224
awkward,awkward,llama 1b,-0.34423207181314086,0.026,0.0591,0.2634,0.0986,192,1152
grammar,grammar,1.5b,0.6571040896698267,0.0221,0.0671,0.2242,0.0986,192,1152
grammar,grammar,1.7b,1.1342968990107858,0.0603,0.0693,0.6112,0.0986,204,1224
grammar,grammar,llama 1b,-0.34423207181314086,-0.0313,0.0592,-0.3179,0.0986,192,1152
inconsistency:name,inconsistency,1.7b,1.1342968990107858,-0.0456,0.0804,-0.6455,0.07071,190,950
inconsistency:style,inconsistency,1.7b,1.1342968990107858,-0.1135,0.0803,-1.6045,0.07071,190,950
local_inconsistency:style,local_inconsistency,1.5b,0.6571040896698267,0.0113,0.073,0.1598,0.07071,192,960
local_inconsistency:style,local_inconsistency,1.7b,1.1342968990107858,-0.0184,0.1434,-0.3288,0.0559,80,360
local_inconsistency:style,local_inconsistency,llama 1b,-0.3442320718131411,0.0,0.0651,0.0,0.07071,192,960
mistranslation,mistranslation,1.5b,0.6571040896698267,0.2349,0.0635,2.3819,0.0986,192,1152
mistranslation,mistranslation,1.7b,1.1342968990107858,0.3117,0.0681,3.1616,0.0986,204,1224
mistranslation,mistranslation,llama 1b,-0.34423207181314086,0.1366,0.0592,1.3852,0.0986,192,1152
omission,omission,1.5b,0.6571040896698267,0.1687,0.065,1.7112,0.0986,192,1152
omission,omission,1.7b,1.1342968990107858,0.2746,0.0709,2.7845,0.0986,204,1224
omission,omission,llama 1b,-0.34423207181314086,0.0717,0.059,0.7268,0.0986,192,1152
