experiment,variant,status,chapters_scored,chapter_count,missing_count,actual_rate_mean,combined_score,mcq_accuracy,open_llm_score_mean,answer_confidence_mean,insufficient_information_rate,evidence_supported_rate,generation_errors,total_items
omission,0%,complete,"1,2,3,4,5,6,7,8",8,0,,0.9308510638297872,0.9787234042553191,0.8829787234042553,,,,0,188
omission,5%,missing,,0,8,,,,,,,,,
omission,10%,complete,"1,2,3,4,5,6,7,8",8,0,,0.8537234042553191,0.9361702127659575,0.7712765957446809,,,,0,188
omission,15%,missing,,0,8,,,,,,,,,
omission,20%,complete,"1,2,3,4,5,6,7,8",8,0,,0.8191489361702128,0.9361702127659575,0.7021276595744681,,,,0,188
omission,30%,complete,"1,2,3,4,5,6,7,8",8,0,,0.7792553191489362,0.8936170212765957,0.6648936170212766,,,,0,188
mistranslation,0%,missing,,0,8,,,,,,,,,
mistranslation,5%,missing,,0,8,,,,,,,,,
mistranslation,10%,missing,,0,8,,,,,,,,,
mistranslation,15%,missing,,0,8,,,,,,,,,
mistranslation,20%,complete,"1,2,3,4,5,6,7,8",8,0,,0.8191489361702128,0.8829787234042553,0.7553191489361702,,,,0,188
mistranslation,30%,missing,,0,8,,,,,,,,,
grammar,0%,missing,,0,8,,,,,,,,,
grammar,5%,missing,,0,8,,,,,,,,,
grammar,10%,missing,,0,8,,,,,,,,,
grammar,15%,missing,,0,8,,,,,,,,,
grammar,20%,missing,,0,8,,,,,,,,,
grammar,30%,complete,"1,2,3,4,5,6,7,8",8,0,,0.8882978723404256,0.9680851063829787,0.8085106382978723,,,,0,188
