chapter,item_id,item_index,q_type,reference,question,standard_answer,row_count,mean_score,zero_rate,perfect_rate
luke8,uw-174455-open,17,open,文本甲 8:55,人物己在人物05家做了什么？,Raises Jairus' daughter.,18,0.1111111111111111,0.8888888888888888,0.1111111111111111
luke1,uw-174328-mcq,18,mcq,文本甲 1:20,因不信，人物甲发生了什么？,He would not speak until birth.,24,0.125,0.875,0.125
luke2,uw-174361-mcq,22,mcq,文本甲 2:46,人物己的父母在哪里找到他？,In the Place A with teachers.,23,0.13043478260869565,0.8695652173913043,0.13043478260869565
luke5,uw-174410-open,21,open,Luke 5:35,人物己的门徒什么时候禁食？,After Person F is taken away.,24,0.16666666666666666,0.8333333333333334,0.16666666666666666
luke8,uw-174449,6,open,Luke 8:21,人物己的母亲和兄弟是谁？,Those who hear and obey.,24,0.16666666666666666,0.8333333333333334,0.16666666666666666
luke8,uw-174454-mcq,16,mcq,文本甲 8:48,是什么医治了流血的妇人？,Her faith in Person F.,18,0.16666666666666666,0.8333333333333334,0.16666666666666666
luke1,uw-174341-open,37,open,文本甲 1:66,大家对孩子有什么认识？,The Master A's hand was with him.,24,0.20833333333333334,0.7916666666666666,0.20833333333333334
luke5,uw-174401-open,3,open,Luke 5:5,尽管一无所获，彼得做了什么？,He let down the nets.,24,0.20833333333333334,0.7916666666666666,0.20833333333333334
luke2,uw-174347-open,3,open,文本甲 2:7,人物丁把她刚出生的儿子放在哪里？,In a manger.,23,0.21739130434782608,0.782608695652174,0.21739130434782608
luke4,uw-174398-open,43,open,Luke 4:41,恶魔被驱逐时说什么？,Person F is the Son of Most High A.,23,0.21739130434782608,0.782608695652174,0.21739130434782608
luke1,uw-174336-open,31,open,文本甲 1:42,人物乙说谁是蒙福的？,Person D and her baby.,24,0.25,0.75,0.25
luke6,uw-174421-open,5,open,Luke 6:23,根据人物己，为什么人们应该喜乐？,Great reward in heaven.,24,0.25,0.75,0.25
luke2,uw-174361-open,21,open,文本甲 2:46,人物己的父母在哪里找到他？,In the Place A with teachers.,23,0.2608695652173913,0.7391304347826086,0.2608695652173913
luke7,uw-174434-open,9,open,Luke 7:16,人物己使那角色03的儿子复活后人们说什么？,A great prophet has risen.,23,0.2608695652173913,0.7391304347826086,0.2608695652173913
luke2,uw-174357-open,17,open,文本甲 2:35,人物03说人物丁将会经历什么？,A sword would pierce her soul.,23,0.30434782608695654,0.6956521739130435,0.30434782608695654
luke4,uw-174382-open,11,open,Luke 4:7,魔鬼希望耶稣做什么？,Bow down before him.,23,0.30434782608695654,0.6956521739130435,0.30434782608695654
luke7,uw-174431-open,5,open,Luke 7:7,角色01希望人物己怎样医治？,By just saying a word.,23,0.30434782608695654,0.6956521739130435,0.30434782608695654
luke7,uw-174442-mcq,18,mcq,Luke 7:49,当人物己赦罪时人们的反应是怎样？,They ask who forgives sins.,23,0.30434782608695654,0.6956521739130435,0.30434782608695654
luke3,uw-174367-open,5,open,Luke 3:8,人物丙 告诉 人们 做 什么？,Produce fruits from repentance.,24,0.3333333333333333,0.6666666666666666,0.3333333333333333
luke5,uw-174404-mcq,12,mcq,Luke 5:10,人物己说西门将来会做什么？,Catching men.,24,0.3333333333333333,0.6666666666666666,0.3333333333333333
luke5,uw-174410-mcq,22,mcq,Luke 5:35,人物己说他的门徒什么时候禁食？,After Person F is taken away.,24,0.3333333333333333,0.6666666666666666,0.3333333333333333
luke8,uw-174452-open,13,open,文本甲 8:33,鬼离开人之后去了哪里？,"Into pigs, drowned in lake.",18,0.3333333333333333,0.6666666666666666,0.3333333333333333
luke4,uw-174382-mcq,12,mcq,Luke 4:7,魔鬼希望耶稣做什么？,Bow down before him.,23,0.34782608695652173,0.6521739130434783,0.34782608695652173
luke7,uw-174430-mcq,4,mcq,Luke 7:6,角色01为什么派朋友去见人物己而不亲自去？,He felt unworthy for Person F to come.,23,0.34782608695652173,0.6521739130434783,0.34782608695652173
luke7,uw-174436-open,11,open,Luke 7:26,人物己怎样评价人物丙？,Person C is more than a prophet.,23,0.34782608695652173,0.6521739130434783,0.34782608695652173
