chapter,item_id,item_index,q_type,reference,question,model_score_range,model_order
luke2,uw-174355-open,15,open,文本甲 2:26,灵甲向人物03显明了什么？,1.0,qwen1.7b > qwen1.5b > llama1b
luke2,uw-174362-mcq,24,mcq,文本甲 2:49,人物己对人物丁说了什么关于寻找他的事？,1.0,qwen1.7b > qwen1.5b > llama1b
luke3,uw-174365-open,1,open,Luke 3:3,人物丙 在 约旦 河 周围 传讲 什么 信息？,1.0,qwen1.5b > qwen1.7b > llama1b
luke4,uw-174396-open,41,open,Luke 4:36,耶稣驱魔后人们有何反应？,1.0,qwen1.5b=qwen1.7b > llama1b
luke5,uw-174400-mcq,2,mcq,Luke 5:4,人物己 吩咐西门将船划到哪里？,1.0,qwen1.7b > qwen1.5b > llama1b
luke5,uw-174406-mcq,14,mcq,Luke 5:20,人物己对瘫痪的人说了什么？,1.0,qwen1.5b=qwen1.7b > llama1b
luke5,uw-174412-mcq,24,mcq,Luke 5:37,如果新酒装入旧皮袋会发生什么？,1.0,qwen1.5b=qwen1.7b > llama1b
luke6,uw-174415-mcq,4,mcq,Luke 6:5,人物己 为自己宣称什么称号？,1.0,qwen1.5b=qwen1.7b > llama1b
luke7,uw-174436-mcq,12,mcq,Luke 7:26,人物己怎样评价施洗人物丙？,1.0,qwen1.7b > llama1b > qwen1.5b
luke8,uw-174448,5,open,Luke 8:15,好地上的种子是谁？,1.0,qwen1.5b > qwen1.7b > llama1b
luke8,uw-174455-open,17,open,文本甲 8:55,人物己在人物05家做了什么？,1.0,llama1b > qwen1.5b=qwen1.7b
luke1,uw-174318-mcq,6,mcq,文本甲 1:7,人物甲和人物乙为什么没有孩子？,0.875,qwen1.5b=qwen1.7b > llama1b
luke1,uw-174329-mcq,20,mcq,文本甲 1:27,六个月后，使者乙访问了谁？,0.875,qwen1.5b=qwen1.7b > llama1b
luke1,uw-174336-mcq,32,mcq,文本甲 1:42,人物乙说谁是蒙福的？,0.875,qwen1.7b > qwen1.5b > llama1b
luke1,uw-174339-mcq,34,mcq,文本甲 1:63,人物甲写了什么关于孩子的名字？,0.875,qwen1.7b > qwen1.5b > llama1b
luke1,uw-174341-mcq,38,mcq,文本甲 1:66,大家对孩子有什么认识？,0.875,qwen1.5b=qwen1.7b > llama1b
luke1,uw-174343-open,41,open,文本甲 1:77,人物甲预言人物丙会帮助人们知道什么？,0.875,qwen1.7b > qwen1.5b > llama1b
luke1,uw-174343-mcq,42,mcq,文本甲 1:77,人物甲预言人物丙会帮助人们知道什么？,0.875,qwen1.5b=qwen1.7b > llama1b
luke2,uw-174346-mcq,2,mcq,文本甲 2:4,人物戊为什么去地点02？,0.875,qwen1.5b=qwen1.7b > llama1b
luke2,uw-174352-open,11,open,文本甲 2:16,群体01在地点02发现了什么？,0.875,qwen1.5b > qwen1.7b > llama1b
luke2,uw-174359-mcq,20,mcq,文本甲 2:40,人物己回到村庄甲后发生了什么？,0.875,qwen1.5b=qwen1.7b > llama1b
luke3,uw-174367-mcq,6,mcq,Luke 3:8,人物丙 告诉 人们 要 产生 什么？,0.875,qwen1.5b=qwen1.7b > llama1b
luke3,uw-174370-mcq,10,mcq,Luke 3:16,人物丙 说 有人 会 用 什么 施洗？,0.875,qwen1.7b > qwen1.5b > llama1b
luke4,uw-174377-mcq,2,mcq,Luke 4:1,谁带领耶稣进入旷野？,0.875,qwen1.7b > qwen1.5b > llama1b
luke4,uw-174381-mcq,10,mcq,Luke 4:5,魔鬼从高处给耶稣展示了什么？,0.875,qwen1.7b > qwen1.5b > llama1b
